LB,L.B. Foster Company ,58.13,49.34,-17.82
NVDA,NVIDIA Corporation ,110.76,100.325,-10.40
URI,United Rentals Inc. Common Sto ,128.06,120.905,-5.92
HRL, Hormel Foods Corporation Common ,37.3,35.2915,-5.69
CF,CF Industries Holdings Inc. Co ,33.22,31.54,-5.33
APA,Apache Corporation Common ,54.91,52.28,-5.03
MLM,Martin Marietta Materials Inc. ,218.94,208.83,-4.84
TRIP, TripAdvisor  Inc. ,45.55,43.48,-4.76
LKQ, LKQ Corporation ,33.05,31.739,-4.13
CHK,Chesapeake Energy Corporation C ,5.92,5.69,-4.04
URBN,Urban Outfitters Inc. ,27.73,26.69,-3.90
FLS,Flowserve Corporation Common St ,48.65,46.88,-3.78
MOS,Mosaic Company (The) Common Sto ,33.13,31.95,-3.69
VMC,Vulcan Materials Company (Holdi ,120.14,115.895,-3.66
NUE,Nucor Corporation Common ,63.24,61.13,-3.45
SPLS,Staples Inc. ,9.48,9.185,-3.21
BSX,Boston Scientific Corporation C ,25.16,24.38,-3.20
RRC,Range Resources Corporation Com ,29.93,29.04,-3.06
GWW, W.W. Grainger  Inc. Common Stoc ,257.43,249.85,-3.03
EW,Edwards Lifesciences Corporatio ,92.21,96.02,3.97
ENDP,Endo Health Solutions Inc. ,12.89,13.555,4.91
RIG,Transocean Ltd (Switzerland) Co ,13.28,14.24,6.74
HPQ, Hewlett-Packard Company Common  ,16.2,17.63,8.11
FSLR,First Solar Inc. ,33.57,37.26,9.90
