CTXS,Citrix Systems Inc. ,91.19,70.45,-29.44
PBI,Pitney Bowes Inc. Common ,15.92,12.8316,-24.07
ADP,Automatic Data Processing Inc. ,100.99,94.415,-6.96
D,Dominion Resources Inc. Common ,76.28,72.47,-5.26
UPS,United Parcel Service Inc. Com ,109.13,103.73,-5.21
AFL,AFLAC Incorporated Common ,69.99,67.01,-4.45
APA,Apache Corporation Common ,59.82,57.4898,-4.05
PVH,PVH Corp. Common ,93.81,90.58,-3.57
JCI,Johnson Controls Inc. Common S ,43.98,42.47,-3.56
MAT,Mattel Inc. ,26.21,25.385,-3.25
NUE,Nucor Corporation Common ,58.09,56.31,-3.16
WYNN,Wynn Resorts Limited ,101.43,98.34,-3.14
NEM,Newmont Mining Corporation (Hol ,36.28,35.2,-3.07
PAYX,Paychex Inc. ,60.29,58.53,-3.01
NVDA,NVIDIA Corporation ,109.18,112.995,3.38
AAPL,Apple Inc. ,121.35,129.03,5.95
AVY,Avery Dennison Corporation Comm ,73.02,78.33,6.78
