CPB,Campbell Soup Company Common St ,62.55,58.42,-7.07
UNH,UnitedHealth Group Incorporated ,163.65,156.86,-4.33
FLS,Flowserve Corporation Common St ,50.81,48.775,-4.17
GIS,General Mills Inc. Common Stoc ,61.54,59.29,-3.79
AKAM,Akamai Technologies Inc. ,64.24,62.105,-3.44
SCG,SCANA Corporation Common ,67.32,65.35,-3.01
XRAY,DENTSPLY International Inc. ,60.74,62.63,3.02
TIF,Tiffany & Co. Common ,83.01,85.97,3.44
DVA,DaVita Inc. Common ,64.66,67.1,3.64
CL,Colgate-Palmolive Company Commo ,69,71.64,3.69
KMB,Kimberly-Clark Corporation Comm ,126.62,131.51,3.72
VFC,V.F. Corporation Common ,50.37,52.45,3.97
MNK,Mallinckrodt plc ,52.5,54.72,4.06
SWKS,Skyworks Solutions Inc. ,92.43,96.37,4.09
MS,Morgan Stanley Common ,25.66,46.13,44.37
