LB,L.B. Foster Company ,58.13,48.976,-18.69
NVDA,NVIDIA Corporation ,110.76,102.275,-8.30
HRL, Hormel Foods Corporation Common ,37.3,34.8,-7.18
BSX,Boston Scientific Corporation C ,25.16,24.115,-4.33
CF,CF Industries Holdings Inc. Co ,33.22,31.861,-4.27
APA,Apache Corporation Common ,54.91,52.7997,-4.00
MOS,Mosaic Company (The) Common Sto ,33.13,32.055,-3.35
LKQ, LKQ Corporation ,33.05,31.99,-3.31
URBN,Urban Outfitters Inc. ,27.73,26.91,-3.05
ENDP,Endo Health Solutions Inc. ,12.89,13.35,3.45
EW,Edwards Lifesciences Corporatio ,92.21,95.89,3.84
RIG,Transocean Ltd (Switzerland) Co ,13.28,14.005,5.18
HPQ, Hewlett-Packard Company Common  ,16.2,17.3799,6.79
FSLR,First Solar Inc. ,33.57,36.402,7.78
