TGT,Target Corporation Common ,66.91,58.551,-14.28
PRGO,Perrigo Company ,84.68,75.07,-12.80
FTR,Frontier Communications Corpora ,3.29,2.94,-11.90
SIG,Signet Jewelers Limited Common  ,72.88,65.9,-10.59
ETFC,E*TRADE Financial Corporation ,37.2,34.74,-7.08
DG,Dollar General Corporation Comm ,76.79,73.01,-5.18
SCHW,Charles Schwab Corporation (The ,41.73,40.045,-4.21
SPLS,Staples Inc. ,9.31,8.955,-3.96
MNK,Mallinckrodt plc ,54.6,52.64,-3.72
BBY,Best Buy Co. Inc. Common ,46.15,44.53,-3.64
KSS,Kohl's Corporation Common ,43.79,42.46,-3.13
VLO,Valero Energy Corporation Commo ,67.24,69.35,3.04
AES,The AES Corporation Common Stoc ,11.14,11.5,3.13
OKE,ONEOK Inc. Common ,53.35,55.14,3.25
PCLN,priceline.com Incorporated ,1632.01,1727.36,5.52
ALB,Albemarle Corporation Common St ,92.46,98.63,6.26
