FCX,Freeport-McMoRan Copper & Gold ,13.99,13.395,-4.44
ENDP,Endo Health Solutions Inc. ,12.82,12.32,-4.06
FTR,Frontier Communications Corpora ,2.92,2.81,-3.91
CAT,Caterpillar Inc. Common ,98.58,94.888,-3.89
CFG,Citizens Financial Group Inc.,39.59,38.1201,-3.86
KR,Kroger Company (The) Common Sto ,32.06,30.88,-3.82
CHK,Chesapeake Energy Corporation C ,5.57,5.365,-3.82
RF,Regions Financial Corporation C ,15.91,15.35,-3.65
FITB, Fifth Third Bancorp ,28.75,27.75,-3.60
ETFC,E*TRADE Financial Corporation ,36.2,34.975,-3.50
MUR,Murphy Oil Corporation Common S ,29.31,28.345,-3.40
ALK,Alaska Air Group Inc. Common S ,100.24,96.9652,-3.38
MTB,M&T Bank Corporation Common Sto ,172.21,166.62,-3.35
VIAB, Viacom Inc. ,43.76,42.38,-3.26
NOV,National Oilwell Varco Inc. Co ,41.74,40.44,-3.21
VLO,Valero Energy Corporation Commo ,68.48,66.3897,-3.15
ZION,Zions Bancorporation ,46.53,45.125,-3.11
COTY,Coty Inc. ,19.37,18.805,-3.00
GPS,Gap Inc. (The) Common ,24.33,25.315,3.89
URBN,Urban Outfitters Inc. ,25.48,26.93,5.38
BBY,Best Buy Co. Inc. Common ,42.14,44.905,6.16
MNST, Monster Beverage Corporation ,42.01,47.59,11.73
