NEM,Newmont Mining Corporation (Hol ,33.91,32.76,-3.51
HES, Hess Corporation Common ,45.79,47.23,3.05
AMP,Ameriprise Financial Inc. Comm ,125.28,129.23,3.06
R,Ryder System Inc. Common ,72.91,75.22,3.07
AMG,Affiliated Managers Group Inc. ,159,164.061,3.08
LYB,LyondellBasell Industries NV Or ,88.62,91.46,3.11
PNR,Pentair Inc. Common ,61.06,63.03,3.13
FCX,Freeport-McMoRan Copper & Gold ,12.21,12.605,3.13
CF,CF Industries Holdings Inc. Co ,29.24,30.19,3.15
SYF,Synchrony Financial Common Stoc,32.74,33.84,3.25
UAL,United Continental Holdings ,68.37,70.7,3.30
SCHW,Charles Schwab Corporation (The ,39.42,40.765,3.30
NBL,Noble Energy Inc. Common ,32.85,33.995,3.37
MUR,Murphy Oil Corporation Common S ,26.25,27.175,3.40
NAVI,Navient Corporation ,14,14.51,3.51
URI,United Rentals Inc. Common Sto ,119.56,124.265,3.79
CHK,Chesapeake Energy Corporation C ,5.16,5.389,4.25
RHT,Red Hat Inc. Common ,82.2,86.64,5.12
DRI,Darden Restaurants Inc. Common ,75.58,81.965,7.79
