VAR,Varian Medical Systems Inc. Co ,88.8,77.47,-14.63
RIG,Transocean Ltd (Switzerland) Co ,14.9,13.73,-8.52
CHK,Chesapeake Energy Corporation C ,6.92,6.435,-7.54
RRC,Range Resources Corporation Com ,35.71,33.35,-7.08
MRO,Marathon Oil Corporation Common ,17.41,16.364,-6.39
COG,Cabot Oil & Gas Corporation Com ,22.55,21.255,-6.09
FTI,FMC Technologies Inc. Common S ,35.3,33.355,-5.83
MUR,Murphy Oil Corporation Common S ,29.98,28.35,-5.75
AAL,American Airlines Group Inc. ,46.95,44.64,-5.17
NFX,Newfield Exploration Company Co ,41.78,39.925,-4.65
CTSH,Cognizant Technology Solutions  ,56.13,53.64,-4.64
CXO,Concho Resources Inc. Common St ,144.04,137.72,-4.59
DAL,Delta Air Lines Inc. (New) Comm ,49.7,47.5752,-4.47
COP,ConocoPhillips Common ,49.43,47.41,-4.26
NOV,National Oilwell Varco Inc. Co ,38.87,37.365,-4.03
UAL,United Continental Holdings ,74.42,71.57,-3.98
HST, Host Hotels & Resorts  Inc. Com ,18.59,17.88,-3.97
EQT,EQT Corporation Common ,64.17,61.75,-3.92
DVN,Devon Energy Corporation Common ,46.64,44.89,-3.90
APA,Apache Corporation Common ,62.08,59.76,-3.88
SWN,Southwestern Energy Company Com ,9.42,9.07,-3.86
XEC,Cimarex Energy Co Common ,139.45,134.43,-3.73
HAL, Halliburton Company Common Stoc ,58.21,56.12,-3.72
GRMN,Garmin Ltd. ,49,47.25,-3.70
VRTX,Vertex Pharmaceuticals Incorpor ,87.37,84.2644,-3.69
HP, Helmerich & Payne  Inc. Common  ,72.68,70.12,-3.65
CF,CF Industries Holdings Inc. Co ,36.51,35.3,-3.43
GGP,General Growth Properties Inc. ,24.68,23.865,-3.42
COTY,Coty Inc. ,19.5,18.885,-3.26
AMG,Affiliated Managers Group Inc. ,144.45,150.14,3.79
NEE,NextEra Energy Inc. Common Sto ,22.93,122.275,81.25
