DNB,Dun & Bradstreet Corporation (T ,122.47,102.345,-19.66
SEE,Sealed Air Corporation Common S ,50.22,45.64,-10.04
COTY,Coty Inc. ,20.04,18.345,-9.24
PRU,Prudential Financial Inc. Comm ,105.22,108.48,3.01
NLSN, Nielsen Holdings N.V. Common St ,42.06,43.37,3.02
NUE,Nucor Corporation Common ,58.28,60.11,3.04
CTSH,Cognizant Technology Solutions  ,56.45,58.345,3.25
KSS,Kohl's Corporation Common ,40.84,42.28,3.41
CMI,Cummins Inc. Common ,145.68,151.01,3.53
DLTR,Dollar Tree Inc. ,76.66,79.58,3.67
DG,Dollar General Corporation Comm ,75.07,77.94,3.68
K,Kellogg Company Common ,73.49,76.39,3.80
HUM, Humana Inc. Common ,199.64,207.7,3.88
GT,Goodyear Tire & Rubber Company  ,32.13,33.43,3.89
EFX,Equifax Inc. Common ,121.99,127.07,4.00
UA,Under Armour Inc. Class A Comm ,18.3,19.185,4.61
ROP,Roper Industries Inc. Common S ,193.01,203.29,5.06
ALLE,Allegion plc Ordinary Shares ,67.6,71.42,5.35
PXD,Pioneer Natural Resources Compa ,181.68,192.195,5.47
TDC,Teradata Corporation Common Sto ,30.17,32.58,7.40
