UA,Under Armour Inc. Class A Comm ,25.09,19.764,-26.95
UPS,United Parcel Service Inc. Com ,117.03,109.75,-6.63
VLO,Valero Energy Corporation Commo ,68.23,65.01,-4.95
TSO,Tesoro Corporation Common ,83.41,79.71,-4.64
NUE,Nucor Corporation Common ,60.1,57.715,-4.13
PNR,Pentair Inc. Common ,60.76,58.64,-3.62
RRC,Range Resources Corporation Com ,33.34,32.22,-3.48
MLM,Martin Marietta Materials Inc. ,235.31,227.575,-3.40
TXN,Texas Instruments Incorporated ,77.9,75.405,-3.31
HOG, Harley-Davidson  Inc. Common St ,57.92,56.07,-3.30
URI,United Rentals Inc. Common Sto ,128.77,124.85,-3.14
CSX,CSX Corporation Common ,47.49,46.1,-3.02
NEM,Newmont Mining Corporation (Hol ,34.97,36.185,3.36
DHR,Danaher Corporation Common Stoc ,80.36,83.48,3.74
ABC,AmerisourceBergen Corporation ( ,83.62,86.9,3.77
TMO,Thermo Fisher Scientific Inc Co ,143.29,149.68,4.27
GGP,General Growth Properties Inc. ,23.88,25.06,4.71
NEE,NextEra Energy Inc. Common Sto ,23.12,124.31,81.40
