DNB,Dun & Bradstreet Corporation (T ,122.47,101.67,-20.46
COTY,Coty Inc. ,20.04,18.345,-9.24
SEE,Sealed Air Corporation Common S ,50.22,46.869,-7.15
MCHP,Microchip Technology Incorporat ,73.8,71.05,-3.87
GPS,Gap Inc. (The) Common ,23.31,24.04,3.04
LUV,Southwest Airlines Company Comm ,52.92,54.61,3.09
NFX,Newfield Exploration Company Co ,39.56,40.83,3.11
IVZ,Invesco Plc New Common ,30.52,31.5,3.11
AAL,American Airlines Group Inc. ,45.06,46.52,3.14
CMG,Chipotle Mexican Grill Inc. Co ,402.94,416.21,3.19
CXO,Concho Resources Inc. Common St ,135.39,139.855,3.19
CMI,Cummins Inc. Common ,145.68,150.667,3.31
GT,Goodyear Tire & Rubber Company  ,32.13,33.255,3.38
DLTR,Dollar Tree Inc. ,76.66,79.365,3.41
KSS,Kohl's Corporation Common ,40.84,42.29,3.43
EQT,EQT Corporation Common ,61.67,63.87,3.44
WFM, Whole Foods Market  Inc. ,29.3,30.36,3.49
DG,Dollar General Corporation Comm ,75.07,77.875,3.60
HUM, Humana Inc. Common ,199.64,207.245,3.67
K,Kellogg Company Common ,73.49,76.49,3.92
NUE,Nucor Corporation Common ,58.28,60.67,3.94
VIAB, Viacom Inc. ,42.07,43.8,3.95
EFX,Equifax Inc. Common ,121.99,127.61,4.40
ROP,Roper Industries Inc. Common S ,193.01,202.73,4.79
UA,Under Armour Inc. Class A Comm ,18.3,19.2658,5.01
PXD,Pioneer Natural Resources Compa ,181.68,191.31,5.03
ALLE,Allegion plc Ordinary Shares ,67.6,71.71,5.73
TDC,Teradata Corporation Common Sto ,30.17,32.935,8.40
