UA,Under Armour Inc. Class A Comm ,25.09,19.5943,-28.05
UPS,United Parcel Service Inc. Com ,117.03,109.44,-6.94
VLO,Valero Energy Corporation Commo ,68.23,64.99,-4.99
NUE,Nucor Corporation Common ,60.1,57.61,-4.32
RRC,Range Resources Corporation Com ,33.34,31.98,-4.25
TSO,Tesoro Corporation Common ,83.41,80.02,-4.24
PNR,Pentair Inc. Common ,60.76,58.515,-3.84
TXN,Texas Instruments Incorporated ,77.9,75.34,-3.40
MCHP,Microchip Technology Incorporat ,69.06,66.89,-3.24
URI,United Rentals Inc. Common Sto ,128.77,124.73,-3.24
HOG, Harley-Davidson  Inc. Common St ,57.92,56.11,-3.23
MLM,Martin Marietta Materials Inc. ,235.31,228.108,-3.16
FLS,Flowserve Corporation Common St ,50.48,48.98,-3.06
DHI,D.R. Horton Inc. Common ,30.71,29.81,-3.02
SPG,Simon Property Group Inc. Comm ,177.74,183.45,3.11
REGN,Regeneron Pharmaceuticals Inc. ,344.5,355.7,3.15
NEM,Newmont Mining Corporation (Hol ,34.97,36.19,3.37
COH,Coach Inc. Common ,35.98,37.37,3.72
ABC,AmerisourceBergen Corporation ( ,83.62,87.17,4.07
DHR,Danaher Corporation Common Stoc ,80.36,83.83,4.14
GGP,General Growth Properties Inc. ,23.88,25.03,4.59
TMO,Thermo Fisher Scientific Inc Co ,143.29,151.21,5.24
NEE,NextEra Energy Inc. Common Sto ,23.12,123.64,81.30
