LB,L.B. Foster Company ,58.13,49.35,-17.79
NVDA,NVIDIA Corporation ,110.76,101.05,-9.61
HRL, Hormel Foods Corporation Common ,37.3,34.9547,-6.71
LKQ, LKQ Corporation ,33.05,31.25,-5.76
APA,Apache Corporation Common ,54.91,52.3,-4.99
URBN,Urban Outfitters Inc. ,27.73,26.425,-4.94
CF,CF Industries Holdings Inc. Co ,33.22,31.6705,-4.89
URI,United Rentals Inc. Common Sto ,128.06,122.2,-4.80
CHK,Chesapeake Energy Corporation C ,5.92,5.6733,-4.35
MLM,Martin Marietta Materials Inc. ,218.94,209.99,-4.26
BSX,Boston Scientific Corporation C ,25.16,24.275,-3.65
NFX,Newfield Exploration Company Co ,39.07,37.71,-3.61
TRIP, TripAdvisor  Inc. ,45.55,44.1,-3.29
NUE,Nucor Corporation Common ,63.24,61.27,-3.22
RRC,Range Resources Corporation Com ,29.93,29,-3.21
MOS,Mosaic Company (The) Common Sto ,33.13,32.14,-3.08
VMC,Vulcan Materials Company (Holdi ,120.14,116.62,-3.02
ENDP,Endo Health Solutions Inc. ,12.89,13.39,3.73
RIG,Transocean Ltd (Switzerland) Co ,13.28,14.0416,5.42
HPQ, Hewlett-Packard Company Common  ,16.2,17.58,7.85
FSLR,First Solar Inc. ,33.57,37.25,9.88
