SIG,Signet Jewelers Limited Common  ,72.88,63.42,-14.92
TGT,Target Corporation Common ,66.91,58.46,-14.45
FTR,Frontier Communications Corpora ,3.29,2.9,-13.45
PRGO,Perrigo Company ,84.68,75.075,-12.79
ETFC,E*TRADE Financial Corporation ,37.2,34.39,-8.17
DG,Dollar General Corporation Comm ,76.79,72.48,-5.95
BBY,Best Buy Co. Inc. Common ,46.15,43.92,-5.08
FSLR,First Solar Inc. ,37.83,36.03,-5.00
MNK,Mallinckrodt plc ,54.6,52.342,-4.31
AYI,Acuity Brands Inc (Holding Comp ,219.84,211.19,-4.10
DLTR,Dollar Tree Inc. ,79.56,76.45,-4.07
UA,Under Armour Inc. Class A Comm ,19.28,18.5299,-4.05
SPLS,Staples Inc. ,9.31,8.96,-3.91
BBBY,Bed Bath & Beyond Inc. ,41.9,40.325,-3.91
TSO,Tesoro Corporation Common ,88.33,85.3301,-3.52
HBI, Hanesbrands Inc. Common ,20.65,19.98,-3.35
TRIP, TripAdvisor  Inc. ,42.81,41.44,-3.31
FLS,Flowserve Corporation Common St ,47.94,46.44,-3.23
KSS,Kohl's Corporation Common ,43.79,42.4238,-3.22
CHK,Chesapeake Energy Corporation C ,5.62,5.445,-3.21
SCHW,Charles Schwab Corporation (The ,41.73,40.445,-3.18
NVDA,NVIDIA Corporation ,104.41,101.21,-3.16
URBN,Urban Outfitters Inc. ,26.79,25.995,-3.06
AES,The AES Corporation Common Stoc ,11.14,11.5,3.13
ENDP,Endo Health Solutions Inc. ,13.29,13.785,3.59
ADM,Archer-Daniels-Midland Company  ,45.37,47.075,3.62
PCLN,priceline.com Incorporated ,1632.01,1731.48,5.75
ALB,Albemarle Corporation Common St ,92.46,101.62,9.01
