ticker,companyname,sector,industry,closeprice,dma10,dma50,dma200
LBF, DSW Global High Income Fund  In ,N/A,N/A,8.22,8.189,8.1546,8.04375
LBIX,Leading Brands Inc ,Consumer Goods,Beverages - Soft Drinks,4.03,3.954,3.9694,4.34515
LDL,Lydall Inc. Common ,Conglomerates,Conglomerates,23.41,22.762,21.9382,18.178
LG,Laclede Gas Company Common Stoc ,Utilities,Gas Utilities,47.41,46.703,46.272,45.6459
LGI, Lazard Global Total Return and  ,Financial,Closed-End Fund - Foreign,17.96,17.842,17.315,16.9761
LIVE,LiveDeal Inc. ,Technology,Internet Information Providers,4.44,4.662,6.7994,5.7102
LOGM,LogMein Inc. ,Technology,Application Software,45.45,40.725,42.9244,34.4297
LOOK,LookSmart Ltd. ,Technology,Internet Information Providers,1.67,1.705,2.0532,1.5536
LRN,K12 Inc Common ,Services,Education & Training Services,23.68,22.302,21.9502,24.5075
LVL,Guggenheim S&P Global Dividend Opportunities Index ETF,Global Equity ETF,,13.85,13.737,13.3928,13.0373
LVLT,Level 3 Communications Inc. Co ,Technology,Diversified Communication Services,43.03,38.223,38.1842,30.7224
MANH,Manhattan Associates Inc. ,Technology,Application Software,31.53,32.76,35.7364,76.8815
MAR,Marriot International Common St ,Services,Lodging,57.93,56.833,55.1144,47.44
MASI,Masimo Corporation ,Healthcare,Medical Appliances & Equipment,26.76,26.631,27.0036,27.22
MATL, Direxion Daily Basic Materials  ,N/A,N/A,58.67,58.169,57.0172,47.4917
MAV, Pioneer Municipal High Income A ,Financial,Closed-End Fund - Debt,14.92,14.789,14.5032,13.5887
MBT,Mobile TeleSystems Common ,Technology,Wireless Communications,16.76,16.608,16.698,19.8832
MCZ,Mad Catz Interactive Inc Common ,Technology,Computer Peripherals,0.63,0.562,0.5108,0.5687
MDC,M.D.C. Holdings Inc. Common St ,Industrial Goods,Residential Construction,27.6,27.632,28.681,29.6352
MDYG,SPDR S&P 400 Mid Cap Growth ETF (MDYG) ETF,US Equity ETF,,110.64,110.621,112.703,107.525
MEIL,Methes Energies International Ltd. ,Basic Materials,Chemicals - Major Diversified,2.44,2.432,2.8948,2.7336
MFC,Manulife Financial Corporation  ,Financial,Life Insurance,18.75,18.666,18.9842,18.2829
MFG,Mizuho Financial Group Inc. Sp ,Financial,Money Center Banks,3.91,3.894,3.9954,4.20105
MHGC,Morgans Hotel Group Co. ,Services,Lodging,7.5,7.38,7.7758,7.53695
MHNA, Maiden Holdings North America L ,N/A,N/A,26.17,25.954,25.6124,25.3866
MSFT,Microsoft Corporation ,Technology,Application Software,40.4,40.158,39.269,36.0737
MSI, Motorola Solutions  Inc. Common ,Technology,Communication Equipment,63.58,63.06,64.8012,62.4907
MWO, Morgan Stanley Cap Tr V Gtd Cap ,N/A,N/A,25.16,24.96,24.5776,23.8454
MXI,iShares S&P Global Materials Sector Index Fund ETF,Global Equity ETF,,63.67,63.103,62.4378,60.506
MYGN,Myriad Genetics Inc. ,Services,Research Services,42.21,39.428,37.2204,29.2781
