LH,Laboratory Corporation of Ameri ,17.6525
KLAC,KLA-Tencor Corporation ,21.2256
FDO,Family Dollar Stores Inc. Comm ,22.3021
NOV,National Oilwell Varco Inc. Co ,22.3037
NRG,NRG Energy Inc. Common ,22.5616
BMY,Bristol-Myers Squibb Company Co ,23.3239
YHOO,Yahoo! Inc. ,23.499
TXT,Textron Inc. Common ,24.8912
LVLT,Level 3 Communications Inc. Co ,25.1266
MNK,Mallinckrodt plc ,25.3872
HP, Helmerich & Payne  Inc. Common  ,25.4836
PFE,Pfizer Inc. Common ,25.9738
LLTC,Linear Technology Corporation ,26.1671
OXY,Occidental Petroleum Corporatio ,26.757
VLO,Valero Energy Corporation Commo ,27.0911
RIG,Transocean Ltd (Switzerland) Co ,27.576
LUV,Southwest Airlines Company Comm ,27.6802
FLS,Flowserve Corporation Common St ,27.6989
MSI, Motorola Solutions  Inc. Common ,28.0471
FTI,FMC Technologies Inc. Common S ,28.2152
NWSA,News Corporation ,28.3442
SWN,Southwestern Energy Company Com ,28.4243
JOY, Joy Global Inc. Common ,28.8194
KSS,Kohl's Corporation Common ,28.9989
MPC, Marathon Petroleum Corporation  ,29.0363
LEN,Lennar Corporation Class A Comm ,29.1116
WBA,Walgreens Boots Alliance Inc.,29.2061
TXN,Texas Instruments Incorporated ,29.5884
