VRTX,Vertex Pharmaceuticals Incorpor ,17.5627
APD,Air Products and Chemicals Inc ,17.8136
ENDP,Endo Health Solutions Inc. ,20.2804
CCL,Carnival Corporation Common Sto ,22.0083
FFIV,F5 Networks Inc. ,22.0528
FDO,Family Dollar Stores Inc. Comm ,22.302
TXT,Textron Inc. Common ,22.4575
CAH,Cardinal Health Inc. Common St ,22.5415
ALXN,Alexion Pharmaceuticals Inc. ,22.9504
SWKS,Skyworks Solutions Inc. ,23.1359
ADI,Analog Devices Inc. ,24.3
ADP,Automatic Data Processing Inc. ,24.4444
BIIB,Biogen Idec Inc. ,24.606
PFE,Pfizer Inc. Common ,24.7335
WAT,Waters Corporation Common ,24.8468
CELG,Celgene Corporation ,25.0462
LUV,Southwest Airlines Company Comm ,25.0912
REGN,Regeneron Pharmaceuticals Inc. ,25.0954
KSS,Kohl's Corporation Common ,25.1156
HCA, HCA Holdings  Inc. Common ,25.5199
EXPD,Expeditors International of Was ,25.6299
KR,Kroger Company (The) Common Sto ,25.7447
TSCO,Tractor Supply Company ,25.7638
TEL,TE Connectivity Ltd. New Switze ,25.8427
HSIC, Henry Schein  Inc. ,25.9903
ESRX,Express Scripts Holding Company ,26.0452
CRM,Salesforce.com Inc Common ,26.1526
XRAY,DENTSPLY International Inc. ,26.1533
NOC,Northrop Grumman Corporation Co ,26.416
VLO,Valero Energy Corporation Commo ,26.6179
PCAR,PACCAR Inc. ,26.8154
IR,Ingersoll-Rand plc (Ireland) ,26.9606
FDX,FedEx Corporation Common ,26.9756
AMGN,Amgen Inc. ,26.9809
ROST,Ross Stores Inc. ,27.3231
ABC,AmerisourceBergen Corporation ( ,27.4505
WYN,Wyndham Worldwide Corp Common   ,27.4925
BLL,Ball Corporation Common ,27.7174
LRCX,Lam Research Corporation ,28.0052
TSO,Tesoro Corporation Common ,28.0689
EA, Electronic Arts Inc. ,28.1538
EXPE,Expedia Inc. ,28.2545
LVLT,Level 3 Communications Inc. Co ,28.7224
ACN,Accenture plc. Class A Ordinary ,28.7447
DHR,Danaher Corporation Common Stoc ,28.8458
FLIR,FLIR Systems Inc. ,29.0501
XLNX,Xilinx Inc. ,29.0792
HON, Honeywell International Inc. Co ,29.102
TSS,Total System Services Inc. Com ,29.2434
AET,Aetna Inc. Common ,29.414
SBUX,Starbucks Corporation ,29.5762
SWK,Stanley Black & Decker Inc. Co ,29.5774
SNI,Scripps Networks Interactive I ,29.5883
GILD,Gilead Sciences Inc. ,29.5884
NKE,Nike Inc. Common ,29.6852
RTN,Raytheon Company Common ,29.7691
MCD,McDonald's Corporation Common S ,29.8013
BA,Boeing Company (The) Common Sto ,29.9106
