LH,Laboratory Corporation of Ameri ,21.1613
KLAC,KLA-Tencor Corporation ,22.2493
FDO,Family Dollar Stores Inc. Comm ,22.3022
BMY,Bristol-Myers Squibb Company Co ,23.6724
LUV,Southwest Airlines Company Comm ,23.6815
NRG,NRG Energy Inc. Common ,24.6393
YHOO,Yahoo! Inc. ,24.9479
PFE,Pfizer Inc. Common ,25.6226
LEN,Lennar Corporation Class A Comm ,25.9498
LLTC,Linear Technology Corporation ,26.1348
NOV,National Oilwell Varco Inc. Co ,26.5461
WBA,Walgreens Boots Alliance Inc.,26.9332
XLNX,Xilinx Inc. ,27.3503
MHK,Mohawk Industries Inc. Common  ,27.3647
VLO,Valero Energy Corporation Commo ,27.5265
AMAT,Applied Materials Inc. ,28.4711
MSI, Motorola Solutions  Inc. Common ,28.688
LVLT,Level 3 Communications Inc. Co ,29.0305
TXT,Textron Inc. Common ,29.2843
FLS,Flowserve Corporation Common St ,29.3392
