NRG,NRG Energy Inc. Common ,20.3125
FDO,Family Dollar Stores Inc. Comm ,22.3021
EXC,Exelon Corporation Common ,22.8372
NSC,Norfolk Southern Corporation Co ,23.2743
POM,PEPCO Holdings Inc Common ,23.9474
KSS,Kohl's Corporation Common ,24.2599
MSI, Motorola Solutions  Inc. Common ,25.1483
SHW,Sherwin-Williams Company (The)  ,25.2164
ETR,Entergy Corporation Common Stoc ,25.4478
NWSA,News Corporation ,25.5101
T,AT&T Inc. ,26.4973
PNW,Pinnacle West Capital Corporati ,26.9032
QEP,QEP Resources Inc. Common Stoc ,27.0717
PCG,Pacific Gas & Electric Co. Comm ,27.8639
PAYX,Paychex Inc. ,28.1976
KORS,Michael Kors Holdings Limited O ,28.3561
DTE,DTE Energy Company Common ,29.105
PPL,PP&L Corporation Common ,29.2555
XEL,Xcel Energy Inc. Common ,29.4598
UNP,Union Pacific Corporation Commo ,29.8473
SCG,SCANA Corporation Common ,29.8487
