HCA, HCA Holdings  Inc. Common ,15.4233
ESRX,Express Scripts Holding Company ,18.8328
CELG,Celgene Corporation ,18.956
UNH,UnitedHealth Group Incorporated ,19.3421
CI,Cigna Corporation Common ,20.847
LH,Laboratory Corporation of Ameri ,21.1723
ABBV,AbbVie Inc. ,21.3604
WAT,Waters Corporation Common ,21.9321
FDO,Family Dollar Stores Inc. Comm ,22.3021
LLTC,Linear Technology Corporation ,23.8214
EW,Edwards Lifesciences Corporatio ,24.4313
XLNX,Xilinx Inc. ,25.0586
DLPH, Delphi Automotive plc Ordinary  ,25.1117
MYL,Mylan Inc. ,25.6914
PFE,Pfizer Inc. Common ,25.9939
LLL,L-3 Communications Holdings In ,26.7302
LVLT,Level 3 Communications Inc. Co ,26.796
JNJ,Johnson & Johnson Common ,26.8722
REGN,Regeneron Pharmaceuticals Inc. ,26.9239
EBAY,eBay Inc. ,27.0058
TRIP, TripAdvisor  Inc. ,27.0737
BLL,Ball Corporation Common ,27.231
PRGO,Perrigo Company ,27.2611
NKE,Nike Inc. Common ,27.2877
CAH,Cardinal Health Inc. Common St ,27.4134
VLO,Valero Energy Corporation Commo ,27.4823
XRAY,DENTSPLY International Inc. ,27.7293
AGN,Allergan Inc. Common ,27.7367
PDCO,Patterson Companies Inc. ,28.2197
YHOO,Yahoo! Inc. ,28.289
UTX,United Technologies Corporation ,28.5292
CCI,Crown Castle International Corp ,28.5424
LLY, Eli Lilly and Company Common St ,28.6137
SWKS,Skyworks Solutions Inc. ,28.6429
GILD,Gilead Sciences Inc. ,28.6527
LUV,Southwest Airlines Company Comm ,28.7476
FDX,FedEx Corporation Common ,28.809
BMY,Bristol-Myers Squibb Company Co ,28.8603
VRTX,Vertex Pharmaceuticals Incorpor ,28.9162
FOSL,Fossil Inc. ,28.9431
AMGN,Amgen Inc. ,28.9935
TXT,Textron Inc. Common ,29.0537
VIAB, Viacom Inc. ,29.4479
UHS,Universal Health Services Inc. ,29.4556
AAL,American Airlines Group Inc. ,29.5373
GOOG,Google Inc. ,29.5957
HIG, Hartford Financial Services Gro ,29.5975
LMT,Lockheed Martin Corporation Com ,29.6067
PKI,PerkinElmer Inc. Common ,29.6462
IPG,Interpublic Group of Companies ,29.6707
HSIC, Henry Schein  Inc. ,29.7175
MHK,Mohawk Industries Inc. Common  ,29.733
NFLX,Netflix Inc. ,29.8836
