ED,Consolidated Edison Inc. Commo ,16.8805
FDO,Family Dollar Stores Inc. Comm ,22.3018
NE,Noble Corporation  New Common S ,24.6426
WBA,Walgreens Boots Alliance Inc.,25.4968
PNR,Pentair Inc. Common ,25.923
GOOG,Google Inc. ,26.1458
VRTX,Vertex Pharmaceuticals Incorpor ,26.9085
TSN,Tyson Foods Inc. Common ,27.0507
AN,AutoNation Inc. Common ,27.392
PH,Parker-Hannifin Corporation Com ,27.5598
CAM,Cameron International Corporati ,28.1445
FAST,Fastenal Company ,28.5451
TE,TECO Energy Inc. Common ,29.5716
