TSCO,Tractor Supply Company ,14.5563
BIIB,Biogen Idec Inc. ,15.8546
WAT,Waters Corporation Common ,18.2659
AGN,Allergan Inc. Common ,18.5663
PHM,PulteGroup Inc. Common ,20.7346
FTR,Frontier Communications Corpora ,21.2972
GME,Gamestop Corporation Common Sto ,21.3938
WYNN,Wynn Resorts Limited ,21.4336
FDO,Family Dollar Stores Inc. Comm ,22.302
LEN,Lennar Corporation Class A Comm ,22.4899
MYL,Mylan Inc. ,23.4735
PFE,Pfizer Inc. Common ,23.4896
WHR,Whirlpool Corporation Common St ,23.6353
CF,CF Industries Holdings Inc. Co ,23.7333
VRTX,Vertex Pharmaceuticals Incorpor ,24.2536
BMY,Bristol-Myers Squibb Company Co ,24.3687
MON,Monsanto Company Common ,24.5053
MAS,Masco Corporation Common ,25.1395
MDT,Medtronic Inc. Common ,25.3401
CELG,Celgene Corporation ,25.3873
PCAR,PACCAR Inc. ,25.4528
TEL,TE Connectivity Ltd. New Switze ,25.459
MHK,Mohawk Industries Inc. Common  ,25.478
BA,Boeing Company (The) Common Sto ,25.5014
BBY,Best Buy Co. Inc. Common ,25.8034
MHFI,McGraw Hill Financial Inc. ,25.9947
ITW,Illinois Tool Works Inc. Common ,26.2325
RTN,Raytheon Company Common ,26.7449
BSX,Boston Scientific Corporation C ,26.938
ZTS,Zoetis Inc. ,27.2176
GPS,Gap Inc. (The) Common ,27.4102
CLX,Clorox Company (The) Common Sto ,27.6003
ENDP,Endo Health Solutions Inc. ,27.6771
WFM, Whole Foods Market  Inc. ,28.0532
KSS,Kohl's Corporation Common ,28.054
KR,Kroger Company (The) Common Sto ,28.0974
DHI,D.R. Horton Inc. Common ,28.1168
ROST,Ross Stores Inc. ,28.2379
SWKS,Skyworks Solutions Inc. ,28.3581
MOS,Mosaic Company (The) Common Sto ,28.3671
PGR,Progressive Corporation (The) C ,28.4146
THC,Tenet Healthcare Corporation Co ,28.5906
FLIR,FLIR Systems Inc. ,28.7184
SEE,Sealed Air Corporation Common S ,28.8345
NRG,NRG Energy Inc. Common ,28.8566
LEG,Leggett & Platt Incorporated C ,28.9798
CRM,Salesforce.com Inc Common ,29.005
PX,Praxair Inc. Common ,29.0853
JNJ,Johnson & Johnson Common ,29.1121
XLNX,Xilinx Inc. ,29.1946
FAST,Fastenal Company ,29.3121
STJ,St. Jude Medical Inc. Common S ,29.3901
WMT,Wal-Mart Stores Inc. Common St ,29.4521
MCK,McKesson Corporation Common Sto ,29.5641
CCL,Carnival Corporation Common Sto ,29.5989
WDC,Western Digital Corporation ,29.6835
