CAH,Cardinal Health Inc. Common St ,17.0855
NOC,Northrop Grumman Corporation Co ,17.6092
FFIV,F5 Networks Inc. ,17.6593
BA,Boeing Company (The) Common Sto ,17.7173
ENDP,Endo Health Solutions Inc. ,17.8323
CELG,Celgene Corporation ,18.7615
AMGN,Amgen Inc. ,19.1507
ESRX,Express Scripts Holding Company ,19.5347
BIIB,Biogen Idec Inc. ,20.367
HCA, HCA Holdings  Inc. Common ,20.4726
XRAY,DENTSPLY International Inc. ,20.6283
EXPE,Expedia Inc. ,20.7715
KR,Kroger Company (The) Common Sto ,21.074
ABBV,AbbVie Inc. ,21.0856
HSIC, Henry Schein  Inc. ,21.0993
MYL,Mylan Inc. ,21.4197
WAT,Waters Corporation Common ,22.1058
NFLX,Netflix Inc. ,22.1385
FDO,Family Dollar Stores Inc. Comm ,22.3021
SNI,Scripps Networks Interactive I ,22.6673
TXT,Textron Inc. Common ,22.8631
CI,Cigna Corporation Common ,23.1733
PFE,Pfizer Inc. Common ,23.2097
GILD,Gilead Sciences Inc. ,23.3175
RTN,Raytheon Company Common ,23.4726
LLY, Eli Lilly and Company Common St ,23.4775
JNJ,Johnson & Johnson Common ,23.6237
A,Agilent Technologies Inc. Comm ,23.6806
MHK,Mohawk Industries Inc. Common  ,24.1112
STJ,St. Jude Medical Inc. Common S ,24.2198
TEL,TE Connectivity Ltd. New Switze ,24.3358
ALXN,Alexion Pharmaceuticals Inc. ,24.5309
REGN,Regeneron Pharmaceuticals Inc. ,24.5897
PRGO,Perrigo Company ,24.6056
CCL,Carnival Corporation Common Sto ,24.6188
LLTC,Linear Technology Corporation ,24.7386
VRTX,Vertex Pharmaceuticals Incorpor ,25.4534
ORLY,O'Reilly Automotive Inc. ,25.5548
HON, Honeywell International Inc. Co ,25.582
TSCO,Tractor Supply Company ,25.6121
KSS,Kohl's Corporation Common ,25.6327
SWK,Stanley Black & Decker Inc. Co ,25.64
PBI,Pitney Bowes Inc. Common ,25.7187
UTX,United Technologies Corporation ,25.8869
XLNX,Xilinx Inc. ,26.0257
PKI,PerkinElmer Inc. Common ,26.066
ARG,Airgas Inc. Common ,26.158
WYNN,Wynn Resorts Limited ,26.3701
SYK,Stryker Corporation Common Stoc ,26.5442
MCD,McDonald's Corporation Common S ,26.6102
HAS, Hasbro  Inc. ,26.6486
SWKS,Skyworks Solutions Inc. ,26.6856
ACN,Accenture plc. Class A Ordinary ,26.7363
BAX,Baxter International Inc. Commo ,26.9076
FDX,FedEx Corporation Common ,26.9814
NKE,Nike Inc. Common ,27.0511
TMO,Thermo Fisher Scientific Inc Co ,27.075
ABC,AmerisourceBergen Corporation ( ,27.2099
MDT,Medtronic Inc. Common ,27.231
SPLS,Staples Inc. ,27.3034
TDC,Teradata Corporation Common Sto ,27.3081
UA,Under Armour Inc. Class A Comm ,27.324
LUV,Southwest Airlines Company Comm ,27.6235
AAL,American Airlines Group Inc. ,27.8133
AET,Aetna Inc. Common ,27.847
MPC, Marathon Petroleum Corporation  ,27.9497
VLO,Valero Energy Corporation Commo ,28.2476
HBI, Hanesbrands Inc. Common ,28.3964
YHOO,Yahoo! Inc. ,28.4501
BCR,C.R. Bard Inc. Common ,28.4808
AVY,Avery Dennison Corporation Comm ,28.4895
HRB, H&R Block  Inc. Common ,28.5021
SPY,SPDR S&P 500 ETF,28.5033
UNH,UnitedHealth Group Incorporated ,28.5084
PCAR,PACCAR Inc. ,28.806
EA, Electronic Arts Inc. ,28.8845
SEE,Sealed Air Corporation Common S ,28.9686
BRCM,Broadcom Corporation ,29.2391
MSI, Motorola Solutions  Inc. Common ,29.2517
LRCX,Lam Research Corporation ,29.3052
AZO,AutoZone Inc. Common ,29.3964
PHM,PulteGroup Inc. Common ,29.5725
HUM, Humana Inc. Common ,29.5935
CCE,Coca-Cola Enterprises Inc. Com ,29.6479
LVLT,Level 3 Communications Inc. Co ,29.7187
HRS, Harris Corporation Common ,29.7261
SBUX,Starbucks Corporation ,29.9975
