Buy,AWK,American Water Works Company I ,5.32035
Buy,AXP,American Express Company Common ,11.3932
Buy,CAG,ConAgra Foods Inc. Common Stoc ,7.40647
Buy,CAH,Cardinal Health Inc. Common St ,4.22673
Buy,CBS,CBS Corporation Class B Common  ,18.8202
Buy,CHRW,C.H. Robinson Worldwide Inc. ,18.6305
Buy,CHTR,Charter Communications Inc. ,10.0552
Buy,CI,Cigna Corporation Common ,11.0588
Buy,CL,Colgate-Palmolive Company Commo ,10.247
Buy,CMA,Comerica Incorporated Common St ,6.28725
Buy,CMCSA,Comcast Corporation ,9.75736
Buy,COG,Cabot Oil & Gas Corporation Com ,10.0002
Buy,DHR,Danaher Corporation Common Stoc ,13.3323
Buy,DLTR,Dollar Tree Inc. ,19.1402
Buy,EQIX,Equinix Inc. ,3.22747
Buy,INTC,Intel Corporation ,16.5241
Buy,IPG,Interpublic Group of Companies ,14.8158
Buy,LRCX,Lam Research Corporation ,9.49953
Buy,LUK,Leucadia National Corporation C ,10.2559
Buy,MCD,McDonald's Corporation Common S ,11.7299
Buy,OMC,Omnicom Group Inc. Common ,11.0993
Buy,PBCT,People's United Financial Inc. ,15.225
Buy,PCAR,PACCAR Inc. ,18.058
Buy,PCG,Pacific Gas & Electric Co. Comm ,19.9053
Buy,PDCO,Patterson Companies Inc. ,19.7415
Buy,PFE,Pfizer Inc. Common ,12.5272
Buy,PFG,Principal Financial Group Inc C ,12.4604
Buy,SLB,Schlumberger N.V. Common ,12.0793
Buy,FB, Facebook  Inc. ,17.3928
Buy,FITB, Fifth Third Bancorp ,12.2685
Buy,HBAN, Huntington Bancshares Incorpora ,10.6817
Buy,HON, Honeywell International Inc. Co ,11.6562
Buy,HRB, H&R Block  Inc. Common ,12.4447
Buy,ANTM,Anthem Inc. Common,8.70825
Buy,QRVO,Qorvo Inc.,4.92261
Buy,WRK,WestRock Company,19.4452
Buy,ARNC,Arconic Inc.,2.22222
Sell,ATVI,Activision Blizzard Inc ,88.1434
Sell,CAT,Caterpillar Inc. Common ,95.6927
Sell,CBG,CBRE Group Inc Common ,95.5562
Sell,CF,CF Industries Holdings Inc. Co ,92.0496
Sell,CLX,Clorox Company (The) Common Sto ,91.9063
Sell,CME,CME Group Inc. ,89.3029
Sell,CMI,Cummins Inc. Common ,84.8904
Sell,DE,Deere & Company Common ,92.9561
Sell,DG,Dollar General Corporation Comm ,96.2957
Sell,DIS,Walt Disney Company (The) Commo ,91.9361
Sell,DPS,Dr Pepper Snapple Group Inc Dr ,90.6468
Sell,EFX,Equifax Inc. Common ,94.5164
Sell,EMN,Eastman Chemical Company Common ,85.4003
Sell,GGP,General Growth Properties Inc. ,93.4698
Sell,GPC,Genuine Parts Company Common St ,95.8325
Sell,GT,Goodyear Tire & Rubber Company  ,88.8889
Sell,INCY,Incyte Corporation ,87.9319
Sell,ITW,Illinois Tool Works Inc. Common ,97.4856
Sell,LNT,Alliant Energy Corporation Comm ,94.9492
Sell,LOW,Lowe's Companies Inc. Common S ,90.0007
Sell,LYB,LyondellBasell Industries NV Or ,80.4048
Sell,MAS,Masco Corporation Common ,87.6646
Sell,MHK,Mohawk Industries Inc. Common  ,90.9881
Sell,MJN,Mead Johnson Nutrition Company  ,90
Sell,PEP,Pepsico Inc. Common ,86.6477
Sell,SIG,Signet Jewelers Limited Common  ,85.1852
Sell,SJM,J.M. Smucker Company (The) New  ,97.4354
Sell,SO,Southern Company (The) Common S ,88.894
Sell,HBI, Hanesbrands Inc. Common ,92.273
Sell,HD, Home Depot  Inc. (The) Common S ,98.4562
Sell,HOG, Harley-Davidson  Inc. Common St ,98.6108
Sell,INFO,IHS Markit Ltd.,96.2166
