Buy,ABT,Abbott Laboratories Common Stoc ,3.50948
Buy,ACN,Accenture plc. Class A Ordinary ,1.8535
Buy,AGN,Allergan Inc. Common ,17.9458
Buy,AMGN,Amgen Inc. ,7.6046
Buy,AMZN,Amazon.com Inc. ,4.33242
Buy,BAC,Bank of America Corporation Com ,18.0934
Buy,COF,Capital One Financial Corporati ,11.0587
Buy,COST,Costco Wholesale Corporation ,10.0594
Buy,DD,E.I. du Pont de Nemours and Com ,9.01349
Buy,DOW,Dow Chemical Company (The) Comm ,15.5865
Buy,EMR,Emerson Electric Company Common ,5.55461
Buy,GILD,Gilead Sciences Inc. ,8.08018
Buy,GS,Goldman Sachs Group Inc. (The) ,10.2998
Buy,INTC,Intel Corporation ,6.53001
Buy,JNJ,Johnson & Johnson Common ,2.38329
Buy,JPM,JP Morgan Chase & Co. Common St ,5.55513
Buy,LOW,Lowe's Companies Inc. Common S ,18.3649
Buy,MCD,McDonald's Corporation Common S ,2.22087
Buy,MDT,Medtronic Inc. Common ,1.05766
Buy,MMM,3M Company Common ,14.9506
Buy,MON,Monsanto Company Common ,18.8909
Buy,MRK,Merck & Company Inc. Common St ,4.44461
Buy,MS,Morgan Stanley Common ,19.8458
Buy,MSFT,Microsoft Corporation ,13.2163
Buy,NEE,NextEra Energy Inc. Common Sto ,11.1149
Buy,NFLX,Netflix Inc. ,6.16797
Buy,NKE,Nike Inc. Common ,9.26032
Buy,OXY,Occidental Petroleum Corporatio ,5.97733
Buy,PFE,Pfizer Inc. Common ,12.0057
Buy,SLB,Schlumberger N.V. Common ,8.99476
Buy,TGT,Target Corporation Common ,16.2198
Buy,XOM,Exxon Mobil Corporation Common  ,5.74281
Buy,BLK,BlackRock Inc,2.15684
Buy,BRK-B,Berkshire Hathaway Inc.,13.1319
Buy,HAL, Halliburton Company Common Stoc ,13.0281
Buy,HD, Home Depot  Inc. (The) Common S ,12.634
Buy,IBM, International Business Machines ,14.6253
Buy,LLY, Eli Lilly and Company Common St ,11.5863
Buy,WBA,Walgreens Boots Alliance Inc.,14.0296
Buy,KHC,The Kraft Heinz Company,10.5042
Sell,DUK,Duke Energy Corporation (Holdin ,81.4739
Sell,EXC,Exelon Corporation Common ,98.1491
Sell,GM,General Motors Company Common S ,88.094
Sell,MET,MetLife Inc. Common ,82.9599
Sell,T,AT&T Inc. ,85.077
Sell,PYPL,PayPal Holdings  Inc.,83.3903
