Buy,AGN,Allergan Inc. Common ,13.6866
Buy,AMD,Advanced Micro Devices Inc. Co ,2.91743
Buy,BA,Boeing Company (The) Common Sto ,6.86323
Buy,C,Citigroup Inc. Common ,7.96975
Buy,CAT,Caterpillar Inc. Common ,7.70604
Buy,CELG,Celgene Corporation ,9.33791
Buy,CMCSA,Comcast Corporation ,14.4348
Buy,JPM,JP Morgan Chase & Co. Common St ,15.8807
Buy,MDT,Medtronic Inc. Common ,6.34938
Buy,MRK,Merck & Company Inc. Common St ,16.6677
Buy,NVDA,NVIDIA Corporation ,15.0728
Buy,PCLN,priceline.com Incorporated ,7.32954
Buy,TGT,Target Corporation Common ,11.1122
Buy,HON, Honeywell International Inc. Co ,18.5685
Buy,LLY, Eli Lilly and Company Common St ,10.4168
Buy,VIX,VOLATILITY S&P 500,5.55569
Sell,MO,Altria Group Inc. ,89.9989
Sell,PFE,Pfizer Inc. Common ,94.4434
Sell,SO,Southern Company (The) Common S ,92.0764
Sell,T,AT&T Inc. ,98.9897
Sell,TWX,Time Warner Inc. New Common Sto ,82.827
Sell,KMI, Kinder Morgan  Inc. Common Stoc ,82.2249
Sell,PYPL,PayPal Holdings  Inc.,88.1816
Sell,SNAP,Snap Inc.,80.4227
