11143,BYBK,Bay Bancorp Inc. ,Financial,Regional - Mid-Atlantic Banks
4233,BZF, WisdomTree Dreyfus Brazilian Re ,N/A,N/A
623,CAB,Cabela's Inc Class A Common Sto ,Services,Sporting Goods Stores
627,CACH,Cache Inc. ,Services,Apparel Stores
10550,CAD,PIMCO Canada Bond Index Fund ETF,Fixed Income ETF,
637,CAK,CAMAC Energy Inc. ,Basic Materials,Independent Oil & Gas
638,CAKE,The Cheesecake Factory Incorpor ,Services,Restaurants
640,CALI,China Auto Logistics Inc. ,Services,Auto Parts Wholesale
641,CALL,magicJack VocalTec Ltd ,Technology,Telecom Services - Domestic
659,CATO,Cato Corporation (The) Class A  ,Services,Apparel Stores
661,CAVM,Cavium Inc. ,Technology,Semiconductor - Broad Line
662,CAVO,CAVICO CP CMN ,Industrial Goods,Heavy Construction
674,CBI,Chicago Bridge & Iron Company N ,Industrial Goods,General Contractors
681,CBMX,CombiMatrix Corporation ,Healthcare,Medical Laboratories & Research
11149,CBMXW,CombiMatrix Corporation ,N/A,N/A
687,CBR,Ciber Inc. Common ,Technology,Information Technology Services
688,CBRL,Cracker Barrel Old Country Stor ,Services,Restaurants
703,CCI,Crown Castle International Corp ,Technology,Diversified Communication Services
704,CCIH,ChinaCache International Holdin ,Technology,Internet Information Providers
705,CCIX,Coleman Cable Inc. ,Industrial Goods,Industrial Electrical Equipment
4246,CCX, WisdomTree Dreyfus Commodity Cu ,N/A,N/A
723,CDR,Cedar Realty Trust Inc. Common ,Financial,REIT - Retail
731,CECE,CECO Environmental Corp. ,Industrial Goods,Pollution & Treatment Controls
765,CGR,Claude Resources Inc. Ordinary ,Basic Materials,Gold
780,CHGS,China GengSheng Minerals Inc.  ,Basic Materials,Nonmetallic Mineral Mining
785,CHKP,Check Point Software Technologi ,Technology,Security Software & Services
787,CHLN,China Housing & Land Developmen ,Financial,Real Estate Development
793,CHS,Chico's FAS Inc. Common ,Services,Apparel Stores
11160,CIFC,CIFC Corp. ,Financial,Asset Management
4278,CIK, Credit Suisse Asset Management  ,Financial,Closed-End Fund - Debt
808,CIM,Chimera Investment Corporation  ,Financial,REIT - Diversified
820,CKP,Checkpoint Systms Inc. Common  ,Services,Security & Protection Services
844,CLUB,Town Sports International Holdi ,Services,Sporting Activities
11163,CMGE,China Mobile Games and Entertainment Group Limited ,Technology,Multimedia & Graphics Software
859,CMLS,Cumulus Media Inc. ,Services,Broadcasting - Radio
862,CMP,Compass Minerals Intl Inc Commo ,Basic Materials,Industrial Metals & Minerals
875,CNI,Canadian National Railway Compa ,Services,Railroads
881,CNP,CenterPoint Energy Inc (Holdin ,Utilities,Diversified Utilities
4293,CNPF, Global Canada Preferred ETF ,N/A,N/A
891,CO,China Cord Blood Corporation. C ,Healthcare,Medical Laboratories & Research
10490,COLX,Market Vector Colombia ETF,Global Equity ETF,
932,CPL,CPFL Energia S.A. CPFL Energia  ,Utilities,Foreign Utilities
935,CPN,Calpine Corporation Common Stoc ,Utilities,Electric Utilities
942,CPST,Capstone Turbine Corporation ,Industrial Goods,Industrial Electrical Equipment
963,CRIS,Curis Inc. ,Healthcare,Biotechnology
4309,CRRB, Carrollton Bancorp ,Financial,Regional - Mid-Atlantic Banks
975,CRT,Cross Timbers Royalty Trust Com ,Basic Materials,Oil & Gas Drilling & Exploration
1001,CSRE,CSR plc ,NULL,NULL
1006,CSV,Carriage Services Inc. Common  ,Services,Personal Services
1008,CSX,CSX Corporation Common ,Services,Railroads
1010,CTAS,Cintas Corporation ,Services,Apparel Stores
1021,CTHR,Charles & Colvard Ltd ,Services,Jewelry Stores
11192,CUBI,Customers Bancorp Inc. ,Financial,Regional - Northeast Banks
1038,CVA,Covanta Holding Corporation Com ,Industrial Goods,Waste Management
1045,CVGI,Commercial Vehicle Group Inc. ,Services,Auto Parts Wholesale
1047,CVH,Coventry Health Care Inc. Comm ,Healthcare,Health Care Plans
1052,CVO,Cenveo Inc ,Services,Business Services
1055,CVTI,Covenant Transportation Group  ,Services,Trucking
1062,CWEI,Clayton Williams Energy Inc. ,Basic Materials,Independent Oil & Gas
4335,CWZ, Lehman ABS Corporation Common S ,N/A,N/A
4336,CXE, MFS High Income Municipal Trust ,N/A,N/A
4344,DBA, PowerShares DB Agriculture Fund ,N/A,N/A
4354,DBS, PowerShares DB Silver Fund ,N/A,N/A
4355,DBV, PowerShares DB G10 Currency Har ,N/A,N/A
11204,DDC,Dominion Diamond Corporation ,Basic Materials,Nonmetallic Mineral Mining
4360,DDF, Delaware Investments Dividend & ,Financial,Closed-End Fund - Equity
1124,DEJ,Dejour Energy Inc. Ltd Ordinary ,Basic Materials,Oil & Gas Drilling & Exploration
4374,DHG, DWS High Income Opportunities F ,N/A,N/A
1153,DISCA,Discovery Communications Inc ,Services,CATV Systems
4378,DJCI, UBS AG Linked to the Dow Jones- ,N/A,N/A
1160,DKS,Dick's Sporting Goods Inc Commo ,Services,Sporting Goods Stores
1161,DL,China Distance Education Holdin ,Services,Education & Training Services
1162,DLA,Delta Apparel Inc. Common Stoc ,Consumer Goods,Textile - Apparel Clothing
1163,DLB,Dolby Laboratories Common ,Technology,Diversified Electronics
