BKMU,Bank Mutual Corporation 
CZNC,Citizens & Northern Corp 
FUL,H. B. Fuller Company Common Sto 
SKY,Skyline Corporation Common Stoc 
PRGN,Paragon Shipping Inc. Class A C 
WMS,WMS Industries Inc. Common Stoc 
CCG,Campus Crest Communities Inc.  
CTBI,Community Trust Bancorp Inc. 
CASH,Meta Financial Group Inc. 
QIHU, Qihoo 360 Technology Co. Ltd. A 
WAFD, Washington Federal  Inc. 
CLC,CLARCOR Inc. Common 
SAR, Saratoga Investment Corp New 
SVU,SuperValu Inc. Common 
TESS,TESSCO Technologies Incorporate 
WABC,Westamerica Bancorporation 
LBIX,Leading Brands Inc 
