ADTN,ADTRAN Inc. 
AROW,Arrow Financial Corporation 
BANF,BancFirst Corporation 
BKOR,Oak Ridge Financial Services I 
CCBG,Capital City Bank Group 
CCNE,CNB Financial Corporation 
CMA,Comerica Incorporated Common St 
CREE,Cree Inc. 
DPZ,Domino's Pizza Inc Common 
FMBI,First Midwest Bancorp Inc. 
FULT,Fulton Financial Corporation 
GS,Goldman Sachs Group Inc. (The) 
INTC,Intel Corporation 
ISRG,Intuitive Surgical Inc. 
KSU,Kansas City Southern Common Sto 
LLTC,Linear Technology Corporation 
MANH,Manhattan Associates Inc. 
MBWM,Mercantile Bank Corporation 
MTG,MGIC Investment Corporation Com 
NVR,NVR Inc. Common 
OKSB,Southwest Bancorp Inc. 
OMC,Omnicom Group Inc. Common 
PM,Philip Morris International Inc 
PZN,Pzena Investment Management Inc 
QCRH,QCR Holdings Inc. 
RF,Regions Financial Corporation C 
RNST,Renasant Corporation 
SCHW,Charles Schwab Corporation (The 
SCL,Stepan Company Common 
TEX,Terex Corporation Common 
UBNK,United Financial Bancorp Inc. 
UCFC,United Community Financial Corp 
UFPI,Universal Forest Products Inc. 
UNH,UnitedHealth Group Incorporated 
WSCI,WSI Industries Inc. 
WWW,Wolverine World Wide Inc. Comm 
YHOO,Yahoo! Inc. 
BLK,BlackRock Inc
BOTJ, Bank of the James Financial Gro 
FBRC, FBR & Co 
GWW, W.W. Grainger  Inc. Common Stoc 
HA, Hawaiian Holdings  Inc. 
HAFC, Hanmi Financial Corporation 
HBHC, Hancock Holding Company 
HOG, Harley-Davidson  Inc. Common St 
LCNB, LCNB Corporation 
PEBK, Peoples Bancorp of North Caroli 
TTS, Tile Shop Hldgs  Inc. 
CART,Carolina Trust Bank 
NAVI,Navient Corporation 
LTXB,LegacyTexas Financial Group Inc.
FSB,Franklin Financial Network
LSBG,Lake Sunapee Bank Group
BKFS,Black Knight Financial Services  Inc.
HOPE,Hope Bancorp  Inc.
