ACFN,Acorn Energy Inc. 
AETI,American Electric Technologies 
ARL,American Realty Investors Inc. 
CALI,China Auto Logistics Inc. 
CCL,Carnival Corporation Common Sto 
CNTF,China TechFaith Wireless Commun 
CONN,Conn's Inc. 
CPHC,Canterbury Park Holding Corpora 
CTIB,CTI Industries Corporation 
CYCC,Cyclacel Pharmaceuticals Inc. 
DEST,Destination Maternity Corporati 
DPW,Digital Power Corporation Commo 
DRI,Darden Restaurants Inc. Common 
EMAN,eMagin Corporation Common 
EVOL,Evolving Systems Inc. 
FDS,FactSet Research Systems Inc. C 
FPP,FieldPoint Petroleum Corporatio 
FSI,Flexible Solutions Internationa 
GBR,New Concept Energy Inc Common  
GLF,GulfMark Offshore Inc. New Com 
GMAN,Gordmans Stores Inc. 
LIME,Lime Energy Co. 
MKC,McCormick & Company Incorporat 
NFEC,NF Energy Saving Corporation 
OREX,Orexigen Therapeutics Inc. 
PTX,Pernix Therapeutics Holdings I 
SCON,Superconductor Technologies Inc 
SNFCA,Security National Financial Cor 
SOL,Renesola Ltd. Common Shares of  
SONC,Sonic Corp. 
SYPR,Sypris Solutions Inc. 
TCI,Transcontinental Realty Investo 
TGC,Tengasco Inc. Common 
VRNT,Verint Systems Inc. 
WILC,G. Willi-Food International  L 
WLB,Westmoreland Coal Company 
AFB, AllianceBernstein National Muni 
AKP, Alliance California Municipal I 
DSS, Document Security Systems  Inc. 
GALT, Galectin Therapeutics Inc. 
HEB, Hemispherx BioPharma  Inc. Comm 
HH, Hooper Holmes  Inc. Common Stoc 
HOME, Home Federal Bancorp  Inc. 
MARK, Remark Media  Inc. 
SGRP, SPAR Group  Inc. 
NSPR,InspireMD Inc. 
IPDN,Professional Diversity Network LLC 
ERS,Empire Resources Inc. 
DGSE,DGSE Companies Inc. 
BDR,Blonder Tongue Laboratories Inc. 
ATOS,Atossa Genetics Inc. 
ARGS,Argos Therapeutics  Inc. 
NVFY,Nova Lifestyle Inc. 
FNJN,Finjan Holdings Inc.
LEU,Centrus Energy Corp. Class A Co
PLAY,Dave &amp; Busters EntertainmentInc 
PVCT,Provectus Biopharmaceuticals I
AST,Asterias Biotherapeutics Inc.
ADPT,Adeptus Health Inc. Common Stoc
STDY,STEADYMED LTD.
OLLI,Ollies Bargain Outlet Holdings  Inc.
APHB,AmpliPhi Biosciences Corporation
COYN,COPsync  Inc.
SITO,SITO Mobile Ltd.
DFFN,Diffusion Pharmace
IDXG,Interpace Diagnostics Group  Inc.
IZEA,IZEA  Inc.
INFO,IHS Markit Ltd.
MATN,Mateon Therapeutics  Inc.
