AEHR,Aehr Test Systems 
CCF,Chase Corporation Common 
EMMS,Emmis Communications Corporatio 
FC,Franklin Covey Company Common S 
MON,Monsanto Company Common 
NTIC,Northern Technologies Internati 
PKE,Park Electrochemical Corporatio 
PSMT,PriceSmart Inc. 
RAVN,Raven Industries Inc. 
RPM,RPM International Inc. Common S 
STZ,Constellation Brands Inc. Comm 
SCHN, Schnitzer Steel Industries  Inc 
SUPN, Supernus Pharmaceuticals  Inc. 
MGCD,MGC Diagnostics Corporation 
WBA,Walgreens Boots Alliance Inc.
