ACAT,Arctic Cat Inc. 
AINV,Apollo Investment Corporation 
ALCO,Alico Inc. 
ARWR,Arrowhead Research Corporation 
ATV,Acorn International Inc. ADS 
BAP,Credicorp Ltd. Common 
BKD,Brookdale Senior Living Inc. Co 
BMI,Badger Meter Inc. Common 
BWP,Boardwalk Pipeline Partners LP  
CBOE,CBOE Holdings Inc. 
CGA,China Green Agriculture Inc. C 
CNA,CNA Financial Corporation Commo 
CSWC,Capital Southwest Corporation 
CVCO,Cavco Industries Inc. 
CYOU,Changyou.com Limited 
DJCO,Daily Journal Corp. (S.C.) 
DLA,Delta Apparel Inc. Common Stoc 
DO,Diamond Offshore Drilling Inc. 
EVBN,Evans Bancorp Inc. Common Stoc 
FMC,FMC Corporation Common 
FN,Fabrinet Ordinary Shares 
GAIN,Gladstone Investment Corporatio 
GFN,General Finance Corporation 
GIGA,Giga-tronics Incorporated 
JLL,Jones Lang LaSalle Incorporated 
KRC,Kilroy Realty Corporation Commo 
L,Loews Corporation Common 
LMNX,Luminex Corporation 
MAC,Macerich Company (The) Common S 
MCY,Mercury General Corporation Com 
MOD,Modine Manufacturing Company Co 
NMM,Navios Maritime Partners LP Com 
NSSC,NAPCO Security Technologies In 
NWL,Newell Rubbermaid Inc. Common S 
OMI,Owens & Minor Inc. Common Stoc 
OTTR,Otter Tail Corporation 
PCYG,Park City Group Inc. Common St 
PHX,Panhandle Oil and Gas Inc Commo 
PRCP,Perceptron Inc. 
RBC,Regal Beloit Corporation Common 
RE,Everest Re Group Ltd. Common S 
SYUT,Synutra International Inc. 
SYY,Sysco Corporation Common 
TCCO,Technical Communications Corpor 
THFF,First Financial Corporation Ind 
TISI,Team Inc. Common 
TSN,Tyson Foods Inc. Common 
TSO,Tesoro Corporation Common 
TWO,Two Harbors Investment Corp 
UQM,UQM TECHNOLOGIES INC Common Sto 
WEX,Winland Electronics Inc. Commo 
WTM,White Mountains Insurance Group 
YRCW,YRC Worldwide Inc. 
ALSN, Allison Transmission Holdings   
HAE, Haemonetics Corporation Common  
HMN, Horace Mann Educators Corporati 
IESC, Integrated Electrical Services  
IMKTA, Ingles Markets  Incorporated 
NAT, Nordic American Tankers Limited 
TLLP, Tesoro Logistics LP Common Unit 
SALT,Scorpio Bulkers Inc. 
PINC,Premier Inc. 
MODN,Model N Inc. 
HGSH,China HGS Real Estate Inc. 
FOXA,Twenty-First Century Fox Inc. 
APAM,Artisan Partners Asset Management Inc. 
ADHD,Alcobra Ltd. 
YDKN,Yadkin Financial Corporation 
CORI,Corium International Inc. 
FGL,Fidelity and Guaranty Life Common 
KN,Knowles Corporation 
PAHC,Phibro Animal Health Corporation 
PFIE,Profire Energy Inc. 
CTLT,Catalent Inc. Common
FFWM,First Foundation Inc.
IRMD,iRadimed Corporation
QTNT,Quotient Limited
AVXL,Anavex Life Sciences Corp.
CYRX,Cryoport  Inc.
INST,Instructure  Inc.
SBOT,Stellar Biotechnologies  Inc.
APFH,AdvancePierre Foods Holdings  Inc.
