ABTL,Autobytel Inc. 
IVR,INVESCO MORTGAGE CAPITAL INC Co 
QUMU,Qumu Corporation 
STMP,Stamps.com Inc. 
BEAT,CardioNet Inc. 
CTHR,Charles & Colvard Ltd 
FLDM, Fluidigm Corporation 
OA,Orbital ATK Inc. Common
PLNR,Planar Systems Inc. 
PAR, PAR Technology Corporation Comm 
AGIO,Agios Pharmaceuticals Inc. 
AMRN,Amarin Corporation plc 
CDTI,Clean Diesel Technologies Inc. 
CRIS,Curis Inc. 
DXM,Dex Media Inc. 
DRYS,DryShips Inc. 
FAC, First Acceptance Corp 
GALE, Galena Biopharma  Inc. 
HRTX,Heron Therapeutics Inc. 
IEP, Icahn Enterprises L.P. 
INFI,Infinity Pharmaceuticals Inc. 
ORIG, Ocean Rig UDW Inc. 
QCCO,QC Holdings Inc. 
RPTP,Raptor Pharmaceutical Corp. 
SNH,Senior Housing Properties Trust 
SPPI,Spectrum Pharmaceuticals Inc. 
TST, TheStreet  Inc. 
TA,TravelCenters of America LLC Co 
UUU,Universal Security Instruments 
WG,Willbros Group Inc. (DE) Commo 
DLNG,Dynagas LNG Partners LP 
GAIA,Gaiam Inc. 
GNCA,Genocea Biosciences Inc. 
SNTA,Synta Pharmaceuticals Corp. 
TLR,Timberline Resources Corporatio 
TBIO,Transgenomic Inc.
ALEX,Alexander & Baldwin Inc. Commo 
AMIC,American Independence Corp. 
CMRX,Chimerix Inc. 
DVAX,Dynavax Technologies Corporatio 
SATS,EchoStar Corporation 
ETRM,EnteroMedics Inc. 
GALT, Galectin Therapeutics Inc. 
HMPR, Hampton Roads Bankshares Inc 
HHC, Howard Hughes Corporation (The) 
IHC, Independence Holding Company Co 
KBIO,KaloBios Pharmaceuticals Inc. 
KRO,Kronos Worldwide Inc Common Sto 
MKL,Markel Corporation Common 
NL,NL Industries Inc. Common Stoc 
ORBC,ORBCOMM Inc. 
SPRO,SmartPros Ltd. 
SPHS,Sophiris Bio Inc. 
JOE,St. Joe Company (The) Common St 
SXCL,Steel Excel Inc.
SPLP, Steel Partners Holdings LP LTD  
SUNE,SunEdison Inc. 
TLF,Tandy Leather Factory Inc. 
TAT,TransAtlantic Petroleum Ltd Ord 
TLP,Transmontaigne Partners L.P. Tr 
VSTM, Verastem  Inc. 
WLDN,Willdan Group Inc. 
ZIOP,ZIOPHARM Oncology Inc 
DDD,3D Systems Corporation Common S 
AXAS,Abraxas Petroleum Corporation 
ACTA,Actua Corporation
AL, Air Lease Corporation Class A C 
ALXA,Alexza Pharmaceuticals Inc. 
AGN,Allergan Inc. Common 
AIQ,Alliance HealthCare Services I 
AMBR,Amber Road Inc. 
AMCX, AMC Networks Inc. 
AMH,American Homes 4 Rent 
ANAC,Anacor Pharmaceuticals Inc. 
APA,Apache Corporation Common 
APLE,Apple Hospitality REIT  Inc.
AQXP,Aquinox Pharmaceuticals Inc. 
PETX,Aratana Therapeutics Inc. 
ANET,Arista Networks Inc. Common St
AHP,Ashford Hospitality Prime Inc. 
AHT,Ashford Hospitality Trust Inc C 
AINC,Ashford Inc. Common
ASPN,Aspen Aerogels Inc. Common Sto
AGO,Assured Guaranty Ltd. Common St 
ATHX,Athersys Inc. 
ATLS,Atlas Energy L.P. Common Units 
ARP,Atlas Resource Partners L.P. C 
AXGN,AxoGen Inc. 
AZUR,Azure Midstream Partners  LP
BTN,Ballantyne Strong Inc. Common  
BDX,Becton Dickinson and Company C 
BBG,Bill Barrett Corporation Common 
BLFS,BioLife Solutions Inc. 
BITA,Bitauto Holdings Limited Americ 
BVX,Bovie Medical Corporation Commo 
EAT,Brinker International Inc. Com 
CPST,Capstone Turbine Corporation 
CECE,CECO Environmental Corp. 
CDR,Cedar Realty Trust Inc. Common 
CENX,Century Aluminum Company 
CCS,Century Communities Inc. Commo
CERU,Cerulean Pharma Inc. 
CERS,Cerus Corporation 
CSG,Chambers Street Properties 
CEMI, Chembio Diagnostics  Inc. 
CC,The Chemours Company
CPK,Chesapeake Utilities Corporatio 
CVR,Chicago Rivet & Machine Co. Com 
HGSH,China HGS Real Estate Inc. 
CNK,Cinemark Holdings Inc Cinemark  
CLRO,ClearOne Communications Inc. 
CLNY,Colony Financial Inc Common St 
CNXR,Connecture Inc.
ED,Consolidated Edison Inc. Commo 
MCF,Contango Oil & Gas Company Comm 
