APOL,Apollo Group Inc. 
ARTW,Art's-Way Manufacturing Co. In 
AVAV,AeroVironment Inc. 
CAMP,CalAmp Corp. 
CARV,Carver Bancorp Inc. 
CIDM,Cinedigm Digital Cinema Corp 
CJJD,China Jo-Jo Drugstores Inc. 
FDS,FactSet Research Systems Inc. C 
NKE,Nike Inc. Common 
SBLK,Star Bulk Carriers Corp. 
SHLM,A. Schulman Inc. 
VISN,VisionChina Media Inc. 
WOR,Worthington Industries Inc. Co 
HIHO, Highway Holdings Limited 
IHS, IHS Inc. IHS Inc. Class A Commo 
IRL, New Ireland Fund  Inc (The) Com 
EROS,Eros International Plc 
BNED,Barnes & Noble Education  Inc.
EXTN,Exterran Corporation
