ADAT,Authentidate Holding Corp. 
BIG,Big Lots Inc. Common 
CLCT,Collectors Universe Inc. 
GSM,Globe Specialty Metals Inc. 
TAYD,Taylor Devices Inc. 
WMS,WMS Industries Inc. Common Stoc 
AWF, Alliancebernstein Global High I 
GAB, Gabelli Equity Trust  Inc. (The 
GEC, General Electric Capital Corpor 
IROQ, IF Bancorp  Inc. 
KF, Korea Fund  Inc. (The) New Comm 
OBAS, Optibase Ltd. 
TAX, JTH Holding Inc. D/B/A Liberty  
IKGH,Iao Kun Group Holding Company Limited 
SC,Santander Consumer USA Holdings Inc. 
SKYS,Sky Solar Holdings Ltd.
