AAME,Atlantic American Corporation 
ACM,Aecom Technology Corporation Co 
AVNW,Aviat Networks Inc. 
BITA,Bitauto Holdings Limited Americ 
CGA,China Green Agriculture Inc. C 
CHCI,Comstock Holding Companies Inc 
CJJD,China Jo-Jo Drugstores Inc. 
CNET,ChinaNet Online Holdings Inc. 
CNIT,China Information Technology I 
CPHC,Canterbury Park Holding Corpora 
CPHI,China Pharma Holdings Inc. Com 
CZZ,Cosan Limited Class A Common St 
DAVE,Famous Dave's of America Inc. 
DHT,DHT Holdings Inc. 
DXPE,DXP Enterprises Inc. 
ESP,Espey Mfg. & Electronics Corp.  
FPP,FieldPoint Petroleum Corporatio 
FRD,Friedman Industries Inc. Common 
FSFG,First Savings Financial Group  
GBR,New Concept Energy Inc Common  
IXYS,IXYS Corporation 
LIFE,Life Technologies Corporation 
LUNA,Luna Innovations Incorporated 
MTSL,MER Telemanagement Solutions Lt 
NFEC,NF Energy Saving Corporation 
NTIC,Northern Technologies Internati 
OBCI,Ocean Bio-Chem Inc. 
PNRG,PrimeEnergy Corporation 
PSTI,Pluristem Therapeutics Inc. 
RCON,Recon Technology Ltd. 
SBSA,Spanish Broadcasting System In 
SINO,Sino-Global Shipping America L 
SNCR,Synchronoss Technologies Inc. 
SNFCA,Security National Financial Cor 
TCI,Transcontinental Realty Investo 
TGC,Tengasco Inc. Common 
TOF,Tofutti Brands Inc. Common Stoc 
TRT,Trio-Tech International Common  
TSN,Tyson Foods Inc. Common 
URRE,Uranium Resources Inc. 
XIN,Xinyuan Real Estate Co Ltd Amer 
AGRO, Adecoagro S.A. Common Shares 
CLNT, Cleantech Solutions Internation 
DSS, Document Security Systems  Inc. 
ETAK, Elephant Talk Communications  I 
FENG, Phoenix New Media Limited Ameri 
GEVO, Gevo  Inc. 
GURE, Gulf Resources  Inc. 
HOLI, Hollysys Automation Technologie 
MNGA, MagneGas Corporation 
MPV, Babson Capital Participation In 
NQ, NQ Mobile Inc. American Deposit 
RVP, Retractable Technologies  Inc.  
TST, TheStreet  Inc. 
XBKS, Xenith Bankshares  Inc. 
YOD, You On Demand Holdings  Inc. 
STRP,Straight Path Communications Inc. 
PLPM,Planet Payment Inc. 
NNVC,NanoViricides Inc. 
MICT,Micronet Enertec Technologies Inc. 
IMMY,Imprimis Pharmaceuticals Inc. 
FCSC,Fibrocell Science Inc. 
EVK,Ever-Glory International Group Inc. 
DLNG,Dynagas LNG Partners LP 
ATOS,Atossa Genetics Inc. 
AIRI,Air Industries Group 
WUBA,58.com Inc. 
XGTI,xG Technology Inc. 
AKER,Akers Biosciences Inc. 
NVFY,Nova Lifestyle Inc. 
CRTN,Cartesian Inc.
CUO,Continental Materials Corporati
GLOB,Globant S.A. Common Shares
JD,JD.com Inc.
OHAI,OHA Investment Corporation
PRQR,ProQR Therapeutics N.V.
CASI,CASI Pharmaceuticals Inc.
ABY,Abengoa Yield plc
STDY,STEADYMED LTD.
JP,Jupai Holdings Limited
JNP,Juniper Pharmaceuticals  Inc.
AIMT,Aimmune Therapeutics
BETR,Amplify Snack Brands
FORK,Fuling Global Inc.
RNVA,Rennova Health  Inc.
DFFN,Diffusion Pharmace
IZEA,IZEA  Inc.
SELF,Global Self Storage  Inc.
VRAY,ViewRay  Inc.
YIN,Yintech Investment Holdings Limited
MFCB,MFC Bancorp Ltd.
FPAY,FlexShopper  Inc.
GNUS,Genius Brands International  In
MRAM,Everspin Technologies  Inc.
MTNB,Matinas Biopharma Holdings  Inc
XBIO,Xenetic Biosciences  Inc.
YGYI,Youngevity International  Inc.
