TZOO,Travelzoo Inc. 
TDBK,TIDELANDS BANCSHARES 
TMP,Tompkins Financial Corporation  
BRCM,Broadcom Corporation 
FCAP,First Capital Inc. 
HLIT, Harmonic Inc. 
HYF, Managed High Yield Plus Fund  I 
OSTK,Overstock.com Inc. 
SFG,StanCorp Financial Group Inc.  
TFSL,TFS Financial Corporation 
BFIN,BankFinancial Corporation 
CLBH, Carolina Bank Holdings Inc. 
CCNE,CNB Financial Corporation 
EMCF, Emclaire Financial Corp 
FLIC,The First of Long Island Corpor 
MFSF,MutualFirst Financial Inc. 
OPHC,OptimumBank Holdings Inc. 
WBB,Westbury Bancorp Inc. 
AOS,A.O. Smith Corporation Common S 
ABBV,AbbVie Inc. 
APD,Air Products and Chemicals Inc 
CPLP,Capital Product Partners L.P. 
CVX,Chevron Corporation Common Stoc 
CL,Colgate-Palmolive Company Commo 
CNX,CONSOL Energy Inc. Common 
LPG,Dorian LPG Ltd. Common
GHM,Graham Corporation Common 
GNBC,Green Bancorp Inc.
HON, Honeywell International Inc. Co 
IDXX, IDEXX Laboratories  Inc. 
KCG,Knight Capital Group Inc. Clas 
MA,Mastercard Incorporated Common  
NWL,Newell Rubbermaid Inc. Common S 
NS,Nustar Energy L.P.  Common Unit 
PEBO,Peoples Bancorp Inc. 
PSX, Phillips 66 Common 
PSXP,Phillips 66 Partners LP 
PX,Praxair Inc. Common 
PFS,Provident Financial Services I 
STX,Seagate Technology. 
SPG,Simon Property Group Inc. Comm 
TUES,Tuesday Morning Corp. 
TYC,Tyco International Ltd. (Switz 
XRX,Xerox Corporation Common 
ESXB,Community Bankers Trust Corporation 
WHR,Whirlpool Corporation Common St 
AJRD,Aerojet Rocketdyne Holdings  Inc.
ATNY, API Technologies Corp. 
NWFL,Norwood Financial Corp. 
AAL,American Airlines Group Inc. 
ASBB, ASB Bancorp  Inc. 
ALV,Autoliv Inc. Common 
PCAR,PACCAR Inc. 
