ACET,Aceto Corporation 
ADSK,Autodesk Inc. 
AMSWA,American Software Inc. 
BRCD,Brocade Communications Systems 
CLCT,Collectors Universe Inc. 
DEST,Destination Maternity Corporati 
DG,Dollar General Corporation Comm 
DLTR,Dollar Tree Inc. 
EDAP,EDAP TMS S.A. 
FFHL,Fuwei Films (Holdings) Co. Ltd 
FLWS,1-800 FLOWERS.COM Inc. 
GASS,StealthGas Inc. 
GME,Gamestop Corporation Common Sto 
JKS,JinkoSolar Holding Company Limi 
MDT,Medtronic Inc. Common 
MOBI,Sky-mobi Limited 
MOV,Movado Group Inc. Common 
NM,Navios Maritime Holdings Inc. C 
PDCO,Patterson Companies Inc. 
QADA,QAD Inc. 
SAFM,Sanderson Farms Inc. 
SDRL,Seadrill Limited Ordinary Share 
SFL,Ship Finance International Limi 
SFUN,SouFun Holdings Limited America 
SHLD,Sears Holdings Corporation 
SIG,Signet Jewelers Limited Common  
TECD,Tech Data Corporation 
TIF,Tiffany & Co. Common 
TITN,Titan Machinery Inc. 
UEPS,Net 1 UEPS Technologies Inc. 
ULTA,Ulta Salon Cosmetics & Fragran 
GEC, General Electric Capital Corpor 
HAIN, The Hain Celestial Group  Inc. 
OBAS, Optibase Ltd. 
SPLK, Splunk Inc. 
SDLP,Seadrill Partners LLC 
IKGH,Iao Kun Group Holding Company Limited 
BVA,Cordia Bancorp Inc. 
BURL,Burlington Stores Inc. 
VMEM,Violin Memory Inc. 
LEJU,Leju Holdings Limited 
NADL,North Atlantic Drilling Limited 
QURE,uniQure N.V. 
HMLP,Hoegh LNG Partners LP Common Un
IMPR,Imprivata Inc. Common
MIK,The Michaels Companies Inc.
NDRM,NeuroDerm Ltd.
SKYS,Sky Solar Holdings Ltd.
ZAYO,Zayo Group Holdings Inc. Commo
PSTG,Pure Storage  Inc.
