ACFN,Acorn Energy Inc. 
ADK,Adcare Health Systems Inc Commo 
AETI,American Electric Technologies 
AIRT,Air T Inc. 
ARL,American Realty Investors Inc. 
ASTI,Ascent Solar Technologies Inc. 
ASUR,Asure Software Inc 
BDMS,Birner Dental Management Servic 
BLIN,Bridgeline Digital Inc. 
CALI,China Auto Logistics Inc. 
CDTI,Clean Diesel Technologies Inc. 
CGI,Celadon Group Inc. Common Stoc 
CHCI,Comstock Holding Companies Inc 
CIDM,Cinedigm Digital Cinema Corp 
CLSN,Celsion Corporation 
CNET,ChinaNet Online Holdings Inc. 
CREG,China Recycling Energy Corporat 
DAVE,Famous Dave's of America Inc. 
FLL,Full House Resorts Inc. Common 
FN,Fabrinet Ordinary Shares 
LIME,Lime Energy Co. 
LIVE,LiveDeal Inc. 
LTRE,Learning Tree International In 
NFEC,NF Energy Saving Corporation 
NOAH,Noah Holdings Ltd. American Dep 
OBCI,Ocean Bio-Chem Inc. 
PRKR,ParkerVision Inc. 
RLOG,Rand Logistics Inc. 
SBSA,Spanish Broadcasting System In 
SFUN,SouFun Holdings Limited America 
SNFCA,Security National Financial Cor 
SORL,SORL Auto Parts Inc. 
SYY,Sysco Corporation Common 
EAC, Erickson Air-Crane Incorporated 
FES, Forbes Energy Services Ltd 
GVP, GSE Systems  Inc. Common 
HWBK, Hawthorn Bancshares  Inc. 
INWK, InnerWorkings  Inc. 
RLJE, RLJ Entertainment  Inc. 
RVP, Retractable Technologies  Inc.  
SGRP, SPAR Group  Inc. 
VIPS, Vipshop Holdings Limited Americ 
YOD, You On Demand Holdings  Inc. 
HOTR,Chanticleer Holdings Inc. 
IMMY,Imprimis Pharmaceuticals Inc. 
EVOK,Evoke Pharma Inc. 
EVK,Ever-Glory International Group Inc. 
ERS,Empire Resources Inc. 
BDR,Blonder Tongue Laboratories Inc. 
ATOS,Atossa Genetics Inc. 
WBAI,500.com Limited 
XGTI,xG Technology Inc. 
TEDU,Tarena International Inc. 
CRTN,Cartesian Inc.
FSAM,Fifth Street Asset Management I
GBIM,GlobeImmune Inc.
IMNP,Immune Pharmaceuticals Inc.
IMPR,Imprivata Inc. Common
MARA,Marathon Patent Group Inc.
QRHC,Quest Resource Holding Corporat
YUMA,Yuma Energy Inc.
CASI,CASI Pharmaceuticals Inc.
PN,Patriot National Inc. Common S
NHLD,NATIONAL HOLDINGS
VUZI,VUZIX CORP CMN STK
ESES,Eco-Stim Energy Solutions  Inc.
ALRM,Alarm.com Holdings  Inc. 
STKS,The ONE Group Hospitality  Inc.
APHB,AmpliPhi Biosciences Corporation
AVXL,Anavex Life Sciences Corp.
COYN,COPsync  Inc.
CSWI,CSW Industrials  Inc.
CYRX,Cryoport  Inc.
FORK,Fuling Global Inc.
SITO,SITO Mobile Ltd.
ABIL,Ability Inc.
LMFA,LM Funding America  Inc.
RRR,Red Rock Resorts  Inc.
SELF,Global Self Storage  Inc.
MFCB,MFC Bancorp Ltd.
