CCG,Campus Crest Communities Inc.  
TEU, Box Ships Inc. Common Shares 
WAVX,Wave Systems Corp. 
KRO,Kronos Worldwide Inc Common Sto 
NL,NL Industries Inc. Common Stoc 
WUBA,58.com Inc. 
AETI,American Electric Technologies 
TOUR,Tuniu Corporation
ASUR,Asure Software Inc 
RLGT, Radiant Logistics  Inc. Common  
ARGS,Argos Therapeutics  Inc. 
CERU,Cerulean Pharma Inc. 
KOOL,THERMOGENESIS Corp. 
DDS,Dillard's Inc. Common 
KGJI,Kingold Jewelry Inc. 
AMCO,Armco Metals Holdings Inc 
CHLN,China Housing & Land Developmen 
EPRS,EPIRUS Biopharmaceuticals Inc.
IPDN,Professional Diversity Network LLC 
QKLS,QKL Stores Inc. 
SORL,SORL Auto Parts Inc. 
SBSA,Spanish Broadcasting System In 
ACFN,Acorn Energy Inc. 
A,Agilent Technologies Inc. Comm 
ATEA,Astea International Inc. 
BPTH,Bio-Path Holdings Inc. 
DPRX,Dipexium Pharmaceuticals LLC 
EQS,Equus Total Return Inc. Common 
FSAM,Fifth Street Asset Management I
FSNN,Fusion Telecommunications Inter
JD,JD.com Inc.
LXFR, Luxfer Holdings PLC American De 
MARA,Marathon Patent Group Inc.
MATW,Matthews International Corporat 
MDLY,Medley Management Inc. Class A
MIK,The Michaels Companies Inc.
MLSS,Milestone Scientific Inc.
NOAH,Noah Holdings Ltd. American Dep 
NORD,Nord Anglia Education Inc. 
NVFY,Nova Lifestyle Inc. 
NUAN,Nuance Communications Inc. 
PPSI,Pioneer Power Solutions Inc. 
RVP, Retractable Technologies  Inc.  
SVT, Servotronics  Inc. Common 
MOBI,Sky-mobi Limited 
TRT,Trio-Tech International Common  
UPLD,Upland Software Inc.
URBN,Urban Outfitters Inc. 
YOD, You On Demand Holdings  Inc. 
YECO,Yulong Eco-Materials Limited
SIEN,Sientra Inc.
ISH,International Shipholding Corpo 
ANY,Sphere 3D Corp
TGLS,Tecnoglass Inc. 
MIL, MFC Industrial Ltd. 
