ALOT,Astro-Med Inc. 
CCM,Concord Medical Services Holdin 
EXPR,Express Inc. Common 
GES,Guess? Inc. Common 
JBSS,John B. Sanfilippo & Son Inc. 
MOBI,Sky-mobi Limited 
PVH,PVH Corp. Common 
SFL,Ship Finance International Limi 
SOL,Renesola Ltd. Common Shares of  
WSM,Williams-Sonoma Inc. Common St 
GEC, General Electric Capital Corpor 
HAIN, The Hain Celestial Group  Inc. 
HEI, Heico Corporation Common 
HPQ, Hewlett-Packard Company Common  
TLYS, Tilly's  Inc. Common 
WDAY, Workday  Inc. Common 
BVA,Cordia Bancorp Inc. 
EVLV,EVINE Live Inc.
IMPR,Imprivata Inc. Common
KLXI,KLX Inc.
GOGL,Golden Ocean Group Limited
YIN,Yintech Investment Holdings Limited
