APOL,Apollo Group Inc. 
ARTW,Art's-Way Manufacturing Co. In 
CARV,Carver Bancorp Inc. 
CIDM,Cinedigm Digital Cinema Corp 
GIS,General Mills Inc. Common Stoc 
IRET,Investors Real Estate Trust 
MON,Monsanto Company Common 
OMN,OMNOVA Solutions Inc. Common St 
OSN,Ossen Innovation Co. Ltd. 
PIR,Pier 1 Imports Inc. Common Sto 
PKE,Park Electrochemical Corporatio 
SBLK,Star Bulk Carriers Corp. 
UNF,Unifirst Corporation Common Sto 
HIHO, Highway Holdings Limited 
XPLR,Xplore Technologies Corp. 
CAFD,8point3 Energy Partners LP
EXTN,Exterran Corporation
MESG,Xura  Inc.
