AEHR,Aehr Test Systems 
ANGO,AngioDynamics Inc. 
ASRV,AmeriServ Financial Inc. 
BKMU,Bank Mutual Corporation 
BKOR,Oak Ridge Financial Services I 
CBSH,Commerce Bancshares Inc. 
CNBKA,Century Bancorp Inc. 
CNS,Cohn & Steers Inc Common 
CPSS,Consumer Portfolio Services In 
CSX,CSX Corporation Common 
CTBI,Community Trust Bancorp Inc. 
GBNK,Guaranty Bancorp 
INTC,Intel Corporation 
MRTN,Marten Transport Ltd. 
MSN,Emerson Radio Corporation Commo 
PACW,PacWest Bancorp 
UNB,Union Bankshares Inc. 
VSBN,VSB Bancorp Inc. (NY) 
WINA,Winmark Corporation 
YUM,Yum! Brands Inc. 
CVCY, Central Valley Community Bancor 
EMCF, Emclaire Financial Corp 
KMI, Kinder Morgan  Inc. Common Stoc 
SAR, Saratoga Investment Corp New 
TCS,The Container Store Group Inc. 
EXTN,Exterran Corporation
