AMAT,Applied Materials Inc. 
ASYS,Amtech Systems Inc. 
BBY,Best Buy Co. Inc. Common 
BONT,The Bon-Ton Stores Inc. 
CATO,Cato Corporation (The) Class A  
CCCL,China Ceramics Co. Ltd. 
CCM,Concord Medical Services Holdin 
CO,China Cord Blood Corporation. C 
CRM,Salesforce.com Inc Common 
CRMT,America's Car-Mart Inc. 
CTRP,Ctrip.com International Ltd. 
EDAP,EDAP TMS S.A. 
FLY,Fly Leasing Limited 
GPS,Gap Inc. (The) Common 
INTU,Intuit Inc. 
KOOL,THERMOGENESIS Corp. 
KTEC,Key Technology Inc. 
LQDT,Liquidity Services Inc. 
MATW,Matthews International Corporat 
MENT,Mentor Graphics Corporation 
MRVL,Marvell Technology Group Ltd. 
NJR,NewJersey Resources Corporation 
NTZ,Natuzzi S.p.A. 
NUAN,Nuance Communications Inc. 
NUTR,Nutraceutical International Cor 
PERY,Perry Ellis International Inc. 
PLCE,The Children's Place Retail Sto 
ROST,Ross Stores Inc. 
SFUN,SouFun Holdings Limited America 
SJM,J.M. Smucker Company (The) New  
SPB,Spectrum Brands Holdings Inc.  
SPLS,Staples Inc. 
TWMC,Trans World Entertainment Corp. 
ULTR,Ultrapetrol (Bahamas) Limited 
WMT,Wal-Mart Stores Inc. Common St 
WSM,Williams-Sonoma Inc. Common St 
BERY, Berry Plastics Group  Inc. Comm 
BSD, BlackRock Strategic Municipal T 
DCIX, Diana Containerships Inc. 
ECTE, Echo Therapeutics  Inc. 
HAYN, Haynes International  Inc. 
HP, Helmerich & Payne  Inc. Common  
IGLD, Internet Gold Golden Lines Ltd. 
MANU, Manchester United Ltd. Class A  
MPO, Midstates Petroleum Company  In 
NGVC, Natural Grocers by Vitamin Cott 
PNTR, Pointer Telocation Ltd. 
POST, Post Holdings  Inc. Common Stoc 
RADA, Rada Electronics Industries Lim 
SGRP, SPAR Group  Inc. 
WAIR, Wesco Aircraft Holdings  Inc. C 
IKGH,Iao Kun Group Holding Company Limited 
HMLP,Hoegh LNG Partners LP Common Un
KEYS,Keysight Technologies Inc. Comm
ORPN,Bio Blast Pharma Ltd.
