BOX,SeaCube Container Leasing Ltd.  
BV,Bazaarvoice Inc. 
GWRE,Guidewire Software Inc. Common 
JACK,Jack In The Box Inc. 
LZB,La-Z-Boy Incorporated Common St 
MNR,Monmouth Real Estate Investment 
NWY,New York & Company Inc. New Yo 
PLAB,Photronics Inc. 
PVH,PVH Corp. Common 
SMTC,Semtech Corporation 
SNPS,Synopsys Inc. 
TIF,Tiffany & Co. Common 
ASNA, Ascena Retail Group  Inc. 
FSC, Fifth Street Finance Corp. 
HOME, Home Federal Bancorp  Inc. 
PNNT, PennantPark Investment Corporat 
TLYS, Tilly's  Inc. Common 
WDAY, Workday  Inc. Common 
HNNA,Hennessy Advisors Inc. 
XCRA,Xcerra Corporation
YIN,Yintech Investment Holdings Limited
