AAON,AAON Inc. 
ABTL,Autobytel Inc. 
ACAD,ACADIA Pharmaceuticals Inc. 
ACHN,Achillion Pharmaceuticals Inc. 
ACUR,Acura Pharmaceuticals Inc. 
ACXM,Acxiom Corporation 
AE,Adams Resources & Energy Inc.  
AEGR,Aegerion Pharmaceuticals Inc. 
AHS,AMN Healthcare Services Inc AMN 
AHT,Ashford Hospitality Trust Inc C 
AIQ,Alliance HealthCare Services I 
AIRT,Air T Inc. 
AKRX,Akorn Inc. 
ALCO,Alico Inc. 
ALSK,Alaska Communications Systems G 
AME,AMETEK Inc. 
AMIC,American Independence Corp. 
AMOT,Allied Motion Technologies Inc 
AMRI,Albany Molecular Research Inc. 
AMRN,Amarin Corporation plc 
AMRS,Amyris Inc. 
ANSS,ANSYS Inc. 
AOI,Alliance One International Inc 
APA,Apache Corporation Common 
APRI,Apricus Biosciences Inc. 
ARKR,Ark Restaurants Corp. 
ARRY,Array BioPharma Inc. 
ASEI,American Science and Engineerin 
ASYS,Amtech Systems Inc. 
ATRC,AtriCure Inc. 
ATVI,Activision Blizzard Inc 
AYR,Aircastle Limited Common 
BBG,Bill Barrett Corporation Common 
BBW,Build-A-Bear Workshop Inc. Com 
BBX,BankAtlantic Bancorp Inc. New  
BCRX,BioCryst Pharmaceuticals Inc. 
BDX,Becton Dickinson and Company C 
BLL,Ball Corporation Common 
BMRN,BioMarin Pharmaceutical Inc. 
BRS,Bristow Group Inc. Common 
BRT,BRT Realty Trust Common 
BWINB,Baldwin & Lyons Inc. 
BXC,Bluelinx Holdings Inc. Common S 
CAS,Castle (A.M.) & Co. Common Stoc 
CASC,Cascadian Therapeutics, Inc.
CASM,CAS Medical Systems Inc. 
CBB,Cincinnati Bell Inc. Common Sto 
CBPO,China Biologic Products Inc. 
CCO,Clear Channel Outdoor Holdings 
CCOI,Cogent Communications Group In 
CDR,Cedar Realty Trust Inc. Common 
CERS,Cerus Corporation 
CGI,Celadon Group Inc. Common Stoc 
CHD,Church & Dwight Company Inc. C 
CHK,Chesapeake Energy Corporation C 
CIA,Citizens Inc. Class A Common S 
CLMT,Calumet Specialty Products Part 
CLRO,ClearOne Communications Inc. 
CMLS,Cumulus Media Inc. 
CNSL,Consolidated Communications Hol 
CPSI,Computer Programs and Systems  
CPST,Capstone Turbine Corporation 
CRC,Chromcraft Revington Inc. Comm 
CRIS,Curis Inc. 
CRZO,Carrizo Oil & Gas Inc. 
CTB,Cooper Tire & Rubber Company Co 
CTIC,Cell Therapeutics Inc. 
CVGI,Commercial Vehicle Group Inc. 
CVO,Cenveo Inc 
CYTX,Cytori Therapeutics Inc 
DCT,DCT Industrial Trust Inc Common 
DCTH,Delcath Systems Inc. 
DGLY,Digital Ally Inc. 
DMLP,Dorchester Minerals L.P. 
DNR,Denbury Resources Inc. ( Holdi 
DUK,Duke Energy Corporation (Holdin 
DW,Drew Industries Incorporated Co 
EBS,Emergent Biosolutions Inc. Com 
ED,Consolidated Edison Inc. Commo 
EFC,Ellington Financial LLC Common  
EGOV,NIC Inc. 
ELOS,Syneron Medical Ltd. 
EMKR,EMCORE Corporation 
ENG,ENGlobal Corporation 
EOG,EOG Resources Inc. Common Stoc 
ESL,Esterline Technologies Corporat 
ETRM,EnteroMedics Inc. 
EZPW,EZCORP Inc. 
FBSS,Fauquier Bankshares Inc. 
FFG,FBL Financial Group Inc. Commo 
FLR,Fluor Corporation Common 
FLT,FleetCor Technologies Inc. Com 
FRT,Federal Realty Investment Trust 
FVE,Five Star Quality Care Inc. Co 
FXCM,FXCM Inc. Class A Common 
GCAP,GAIN Capital Holdings Inc. Com 
GEN,GenOn Energy Inc. Common 
GIGM,GigaMedia Limited 
INAP,Internap Network Services Corpo 
INFI,Infinity Pharmaceuticals Inc. 
INSM,Insmed Inc. 
IOC,InterOil Corporation 
IPCC,Infinity Property and Casualty  
IRIX,IRIDEX Corporation 
IRWD,Ironwood Pharmaceuticals Inc. 
IT,Gartner Inc. Common 
