TISI,Team Inc. Common 
CERE, Ceres  Inc. 
CTBI,Community Trust Bancorp Inc. 
DAL,Delta Air Lines Inc. (New) Comm 
TPLM,Triangle Petroleum Corporation  
HYF, Managed High Yield Plus Fund  I 
MRTN,Marten Transport Ltd. 
SGL, Strategic Global Income Fund  I 
BKMU,Bank Mutual Corporation 
BNK,C1 Financial Inc. Common
CAW,CCA Industries Inc. Common Sto 
CVCY, Central Valley Community Bancor 
CPSS,Consumer Portfolio Services In 
GBNK,Guaranty Bancorp 
MFRI,MFRI Inc. 
TCPI,TCP International Holdings Ltd.
TBIO,Transgenomic Inc.
WAFD, Washington Federal  Inc. 
AMRB,American River Bankshares 
BANF,BancFirst Corporation 
BLX,Banco Latinoamericano de Comerc 
BAC,Bank of America Corporation Com 
BYLK,Baylake Corp. 
BLK,BlackRock Inc
CHKE,Cherokee Inc. 
CNET,ChinaNet Online Holdings Inc. 
CZFC,Citizens First Corporation 
CUBI,Customers Bancorp Inc. 
LION,Fidelity Southern Corporation 
FCFS,First Cash Financial Services  
FRC,FIRST REPUBLIC BANK Common Stoc 
GFED,Guaranty Federal Bancshares In 
INDB,Independent Bank Corp. 
MICT,Micronet Enertec Technologies Inc. 
PACW,PacWest Bancorp 
PNC,PNC Financial Services Group I 
TZOO,Travelzoo Inc. 
WFC,Wells Fargo & Company Common St 
ASRV,AmeriServ Financial Inc. 
MSG,The Madison Square Garden Compa 
FENX,Fenix Parts  Inc.
QKLS,QKL Stores Inc. 
TNGO, Tangoe  Inc. 
PGR,Progressive Corporation (The) C 
