ACFC,Atlantic Coast Federal Corporat 
ACPW,Active Power Inc. 
AGCO,AGCO Corporation Common 
AHL,Aspen Insurance Holdings Limite 
ALGT,Allegiant Travel Company 
AM,American Greetings Corporation  
AMSF,AMERISAFE Inc. 
ANIK,Anika Therapeutics Inc. 
AOS,A.O. Smith Corporation Common S 
ARI,Apollo Commercial Real Estate F 
ARRS,Arris Group Inc 
ATNI,Atlantic Tele-Network Inc. 
AVY,Avery Dennison Corporation Comm 
AXS,Axis Capital Holdings Limited C 
AXTI,AXT Inc 
BA,Boeing Company (The) Common Sto 
BANR,Banner Corporation 
BEN,Franklin Resources Inc. Common 
BGG,Briggs & Stratton Corporation C 
BIIB,Biogen Idec Inc. 
BOKF,BOK Financial Corporation 
BOOT,LaCrosse Footwear Inc. 
BSX,Boston Scientific Corporation C 
BVSN,BroadVision Inc. 
BWLD,Buffalo Wild Wings Inc. 
BYFC,Broadway Financial Corporation 
CACB,Cascade Bancorp 
CACI,CACI International Inc. Class  
CAKE,The Cheesecake Factory Incorpor 
CDE,Coeur d'Alene Mines Corporation 
CFR,Cullen/Frost Bankers Inc. Comm 
CMCSA,Comcast Corporation 
CMO,Capstead Mortgage Corporation C 
CPLP,Capital Product Partners L.P. 
CRY,CryoLife Inc. Common 
CSBK,Clifton Savings Bancorp Inc. 
CSGP,CoStar Group Inc. 
CSII,Cardiovascular Systems Inc. 
CW,Curtiss-Wright Corporation Comm 
CYS,CYS Investments Inc. Common St 
DEL,Deltic Timber Corporation Commo 
DHIL,Diamond Hill Investment Group  
DLB,Dolby Laboratories Common 
DORM,Dorman Products Inc. 
DRQ,Dril-Quip Inc. Common 
DTE,DTE Energy Company Common 
ECHO,Echo Global Logistics Inc. 
EFX,Equifax Inc. Common 
EGHT,8x8 Inc 
EIG,Employers Holdings Inc Common S 
EML,Eastern Company (The) 
ENTG,Entegris Inc. 
EQY,Equity One Inc. Common 
ESSA,ESSA Bancorp Inc. 
