ALOG,Analogic Corporation 
BOX,SeaCube Container Leasing Ltd.  
CBRL,Cracker Barrel Old Country Stor 
CMCO,Columbus McKinnon Corporation 
CTRP,Ctrip.com International Ltd. 
CVGW,Calavo Growers Inc. 
DAKT,Daktronics Inc. 
ENS,Enersys Common 
GIII,G-III Apparel Group LTD. 
GWRE,Guidewire Software Inc. Common 
KORS,Michael Kors Holdings Limited O 
MLAB,Mesa Laboratories Inc. 
SMTC,Semtech Corporation 
UNIS,Unilife Corporation 
VLGEA,Village Super Market Inc. 
VRA,Vera Bradley Inc. 
VRNT,Verint Systems Inc. 
SPCB,SuperCom Ltd. 
QUNR,Qunar Cayman Islands Limited 
MGCD,MGC Diagnostics Corporation 
ATHM,Autohome Inc. 
LE,Lands' End Inc. 
OLLI,Ollies Bargain Outlet Holdings  Inc.
SCWX,SecureWorks Corp.
