CCG,Campus Crest Communities Inc.  
CSUN,China Sunergy Co. Ltd. 
JVA,Coffee Holding Co. Inc. 
MFRI,MFRI Inc. 
MGCD,MGC Diagnostics Corporation 
PTN,Palatin Technologies Inc. Comm 
RH,Restoration Hardware Holdings Inc. 
FIZZ,National Beverage Corp. 
VALU,Value Line Inc. 
ACET,Aceto Corporation 
CHKE,Cherokee Inc. 
CGA,China Green Agriculture Inc. C 
CBK,Christopher & Banks Corporation 
DAEG,Daegis Inc. 
EGAN, eGain Communications Corporatio 
ELLO,Ellomay Capital Ltd Ordinary Sh
FNSR,Finisar Corporation 
LULU,lululemon athletica inc. 
SKIS,Peak Resorts Inc.
GAME,Shanda Games Limited 
USAT,USA Technologies Inc. 
VISI,Volt Information Sciences Inc.
XTLY,Xactly Corporation
ZUMZ,Zumiez Inc. 
MANU, Manchester United Ltd. Class A  
AEPI,AEP Industries Inc. 
AGTC,Applied Genetic Technologies Corporation 
