CCG,Campus Crest Communities Inc.  
SOL,Renesola Ltd. Common Shares of  
PLCE,The Children's Place Retail Sto 
CLCT,Collectors Universe Inc. 
DY,Dycom Industries Inc. Common S 
GSM,Globe Specialty Metals Inc. 
KANG,iKang Healthcare Group Inc. 
KEQU,Kewaunee Scientific Corporation 
BBY,Best Buy Co. Inc. Common 
BRLI,Bio-Reference Laboratories Inc 
BOSC,B.O.S. Better Online Solutions 
CCUR,Concurrent Computer Corporation 
DAKT,Daktronics Inc. 
DSW,DSW Inc. Common 
EJ,E-House (China) Holdings Limite 
HEI, Heico Corporation Common 
ISLE,Isle of Capri Casinos Inc. 
JKHY,Jack Henry & Associates Inc. 
KLXI,KLX Inc.
LCI,Lannett Co Inc Common 
LEJU,Leju Holdings Limited 
NMBL,Nimble Storage Inc. 
SAFM,Sanderson Farms Inc. 
SLH,Solera Holdings Inc. Solera Ho 
SXI,Standex International Corporati 
TOL,Toll Brothers Inc. Common 
UPIP, Unwired Planet  Inc. 
VAL,Valspar Corporation (The) Commo 
AMCN,AirMedia Group Inc 
DLNG,Dynagas LNG Partners LP 
GROW,U.S. Global Investors Inc. 
