AAME,Atlantic American Corporation 
ABCD,Cambium Learning Group Inc. 
ARCI,Appliance Recycling Centers of  
ATRM,Aetrium Incorporated 
AZPN,Aspen Technology Inc. 
BASI,Bioanalytical Systems Inc. 
CAAS,China Automotive Systems Inc. 
CBLI,Cleveland BioLabs Inc. 
CFBK,Central Federal Corporation 
CGI,Celadon Group Inc. Common Stoc 
CJJD,China Jo-Jo Drugstores Inc. 
COSI,Cosi Inc. 
CPHC,Canterbury Park Holding Corpora 
CTIB,CTI Industries Corporation 
CTRP,Ctrip.com International Ltd. 
CUR,Neuralstem Inc. Common 
CVV,CVD Equipment Corporation 
CYD,China Yuchai International Limi 
DAR,Darling International Inc. Comm 
DDS,Dillard's Inc. Common 
DYSL,Dynasil Corporation of America 
EAT,Brinker International Inc. Com 
EGT,Entertaining Gaming Asia Incorp 
ELRC,Electro Rent Corporation 
EPAY,Bottomline Technologies Inc. 
EQS,Equus Total Return Inc. Common 
ESEA,Euroseas Ltd. 
FLO,Flowers Foods Inc. Common Stoc 
FORD,Forward Industries Inc. 
FRD,Friedman Industries Inc. Common 
FUNC,First United Corporation 
GASS,StealthGas Inc. 
GBR,New Concept Energy Inc Common  
INTX,Intersections Inc. 
INVE,Identive Group Inc. 
ITRI,Itron Inc. 
ITRN,Ituran Location and Control Ltd 
JWN,Nordstrom Inc. Common 
KINS,Kingstone Companies Inc 
KOSS,Koss Corporation 
KSS,Kohl's Corporation Common 
LGL,LGL Group Inc. (The) Common St 
M,Macy's Inc Common 
NMM,Navios Maritime Partners LP Com 
NVDA,NVIDIA Corporation 
OPXA,Opexa Therapeutics Inc. 
PRKR,ParkerVision Inc. 
PTX,Pernix Therapeutics Holdings I 
RT,Ruby Tuesday Inc. Common 
SCON,Superconductor Technologies Inc 
SEED,Origin Agritech Limited 
SFUN,SouFun Holdings Limited America 
SGI,Silicon Graphics International  
SOFO,Sonic Foundry Inc. 
STRT,Strattec Security Corporation 
TCI,Transcontinental Realty Investo 
ULTR,Ultrapetrol (Bahamas) Limited 
UNAM,Unico American Corporation 
WVVI,Willamette Valley Vineyards In 
AGRO, Adecoagro S.A. Common Shares 
CEMI, Chembio Diagnostics  Inc. 
CLIR, ClearSign Combustion Corporatio 
EGAN, eGain Communications Corporatio 
ESTE, Earthstone Energy  Inc. Common  
ETAK, Elephant Talk Communications  I 
HIMX, Himax Technologies  Inc. 
HRT, Arrhythmia Research Technology  
ICCC, ImmuCell Corporation 
IDN, Intellicheck Mobilisa  Inc. Com 
MARK, Remark Media  Inc. 
MNGA, MagneGas Corporation 
NETE, Net Element International  Inc. 
