CTCM,CTC Media Inc. 
CDTI,Clean Diesel Technologies Inc. 
TERP,TerraForm Power Inc.
NQ, NQ Mobile Inc. American Deposit 
ROSG, Rosetta Genomics Ltd. 
MFRM, Mattress Firm Holding Corp. 
AETI,American Electric Technologies 
GAI,Global-Tech Advanced Innovation 
ICLD,InterCloud Systems Inc. 
SVT, Servotronics  Inc. Common 
BLPH,Bellerophon Therapeutics LLC
CCL,Carnival Corporation Common Sto 
JRJC,China Finance Online Co. Limite 
CREG,China Recycling Energy Corporat 
CCIH,ChinaCache International Holdin 
ESSX,Essex Rental Corporation 
IHS, IHS Inc. IHS Inc. Class A Commo 
LUB,Luby's Inc. Common 
UG,United-Guardian Inc. 
YY,YY Inc. 
HLG,Hailiang Education Group Inc.
FLL,Full House Resorts Inc. Common 
