CTCM,CTC Media Inc. 
BONA,Bona Film Group Limited 
YOKU,Youku Inc. American Depositary  
SBSA,Spanish Broadcasting System In 
PRGN,Paragon Shipping Inc. Class A C 
SHLM,A. Schulman Inc. 
BKSC, Bank of South Carolina Corp. 
DRI,Darden Restaurants Inc. Common 
GBX,Greenbrier Companies Inc. (The 
ISCA,International Speedway Corporat 
MIND,Mitcham Industries Inc. 
SVA,Sinovac Biotech Ltd. 
SPCB,SuperCom Ltd. 
TISI,Team Inc. Common 
WBA,Walgreens Boots Alliance Inc.
XUE,Xueda Education Group American  
CWEI,Clayton Williams Energy Inc. 
ADXS,Advaxis Inc. 
CERE, Ceres  Inc. 
OSIR,Osiris Therapeutics Inc. 
STE,STERIS Corporation Common 
