AAON,AAON Inc. 
AAWW,Atlas Air Worldwide Holdings 
ABC,AmerisourceBergen Corporation ( 
ABCD,Cambium Learning Group Inc. 
ABCO,The Advisory Board Company 
ABTL,Autobytel Inc. 
ACAD,ACADIA Pharmaceuticals Inc. 
ACET,Aceto Corporation 
ACIW,ACI Worldwide Inc. 
AE,Adams Resources & Energy Inc.  
AEGR,Aegerion Pharmaceuticals Inc. 
AETI,American Electric Technologies 
AFOP,Alliance Fiber Optic Products  
AHT,Ashford Hospitality Trust Inc C 
AIQ,Alliance HealthCare Services I 
ALEX,Alexander & Baldwin Inc. Commo 
ALR,Alere Inc. Common 
AMRC,Ameresco Inc. Class A Common S 
AMRN,Amarin Corporation plc 
ANH,Anworth Mortgage Asset Corporat 
ANSS,ANSYS Inc. 
AP,Ampco-Pittsburgh Corporation Co 
APA,Apache Corporation Common 
ARP,Atlas Resource Partners L.P. C 
ARWR,Arrowhead Research Corporation 
ASYS,Amtech Systems Inc. 
ATHX,Athersys Inc. 
ATVI,Activision Blizzard Inc 
ATW,Atwood Oceanics Inc. Common St 
AVEO,AVEO Pharmaceuticals Inc. 
AVNW,Aviat Networks Inc. 
AVP,Avon Products Inc. Common Stoc 
BAP,Credicorp Ltd. Common 
BBEP,BreitBurn Energy Partners L.P. 
BCRX,BioCryst Pharmaceuticals Inc. 
BDX,Becton Dickinson and Company C 
BEBE,bebe stores inc. 
BFS,Saul Centers Inc. Common 
BIO,Bio-Rad Laboratories Inc. Clas 
BIOD,Biodel Inc. 
BIOS,BioScrip Inc. 
BIP,Brookfield Infrastructure Partn 
BLDR,Builders FirstSource Inc. 
BR,Broadridge Financial Solutions 
BSQR,BSQUARE Corporation 
BWINB,Baldwin & Lyons Inc. 
BXC,Bluelinx Holdings Inc. Common S 
CBB,Cincinnati Bell Inc. Common Sto 
CBLI,Cleveland BioLabs Inc. 
CBMX,CombiMatrix Corporation 
CBR,Ciber Inc. Common 
CCC,Calgon Carbon Corporation Commo 
CCOI,Cogent Communications Group In 
CERN,Cerner Corporation 
CHD,Church & Dwight Company Inc. C 
CHK,Chesapeake Energy Corporation C 
CLCT,Collectors Universe Inc. 
CLMT,Calumet Specialty Products Part 
CLNE,Clean Energy Fuels Corp. 
CLRO,ClearOne Communications Inc. 
CMLS,Cumulus Media Inc. 
