AGX,Argan Inc. Common 
AOI,Alliance One International Inc 
CASY,Caseys General Stores Inc. 
GIGA,Giga-tronics Incorporated 
LAYN,Layne Christensen Company 
MLNK,ModusLink Global Solutions Inc 
PNY,Piedmont Natural Gas Company I 
SIGM,Sigma Designs Inc. 
THO,Thor Industries Inc. Common St 
UBA,Urstadt Biddle Properties Inc.  
UNFI,United Natural Foods Inc. 
UNIS,Unilife Corporation 
COVS,Covisint Corporation 
XCRA,Xcerra Corporation
XTLY,Xactly Corporation
EXTN,Exterran Corporation
ABIL,Ability Inc.
