AAME,Atlantic American Corporation 
AEE,Ameren Corporation Common 
ALXA,Alexza Pharmaceuticals Inc. 
ARL,American Realty Investors Inc. 
ASFI,Asta Funding Inc. 
AVNW,Aviat Networks Inc. 
AXAS,Abraxas Petroleum Corporation 
BDMS,Birner Dental Management Servic 
CA,CA Inc. 
CLSN,Celsion Corporation 
CSIQ,Canadian Solar Inc. 
CTRP,Ctrip.com International Ltd. 
CVO,Cenveo Inc 
CWCO,Consolidated Water Co. Ltd. 
CYCC,Cyclacel Pharmaceuticals Inc. 
DRYS,DryShips Inc. 
DSCI,Derma Sciences Inc. 
EXAR,Exar Corporation 
GPIC,Gaming Partners International C 
INTX,Intersections Inc. 
INVE,Identive Group Inc. 
ISSC,Innovative Solutions and Suppor 
JACK,Jack In The Box Inc. 
KELYA,Kelly Services Inc. 
LGL,LGL Group Inc. (The) Common St 
M,Macy's Inc Common 
MBLX,Metabolix Inc. 
MIDD,The Middleby Corporation 
NP,Neenah Paper Inc. Common 
NSPH,Nanosphere Inc. 
NTES,NetEase Inc. 
PRKR,ParkerVision Inc. 
PRPH,ProPhase Labs Inc. 
RCMT,RCM Technologies Inc. 
REED,Reeds Inc. 
RTK,Rentech Inc. Common 
SINA,Sina Corporation 
SINO,Sino-Global Shipping America L 
STAA,STAAR Surgical Company 
TCCO,Technical Communications Corpor 
TLF,Tandy Leather Factory Inc. 
TRT,Trio-Tech International Common  
UNIS,Unilife Corporation 
WEN,Wendy's Company (The) 
XUE,Xueda Education Group American  
YGE,Yingli Green Energy Holding Com 
DATE, Jiayuan.com International Ltd. 
ETAK, Elephant Talk Communications  I 
HNR, Harvest Natural Resources Inc 
HRT, Arrhythmia Research Technology  
HTHT, China Lodging Group  Limited 
ICCC, ImmuCell Corporation 
IEC, IEC Electronics Corp. Common St 
IGT, International Game Technology C 
MNGA, MagneGas Corporation 
ORIG, Ocean Rig UDW Inc. 
SVT, Servotronics  Inc. Common 
WAFD, Washington Federal  Inc. 
SPHS,Sophiris Bio Inc. 
RIBT,RiceBran Technologies 
QBAK,Qualstar Corp. 
PME,Pingtan Marine Enterprise Ltd. 
KNOP,KNOT Offshore Partners LP 
JTPY,JetPay Corporation 
ICLD,InterCloud Systems Inc. 
EVTC,EVERTEC Inc. 
EVOK,Evoke Pharma Inc. 
ATOS,Atossa Genetics Inc. 
ARMK,ARAMARK Holdings Corporation 
WPT,World Point Terminals LP 
YY,YY Inc. 
BPTH,Bio-Path Holdings Inc. 
EVAR,Lombard Medical Inc. 
NRX,NephroGenex Inc. 
NVFY,Nova Lifestyle Inc. 
REPH,Recro Pharma Inc. 
WB,Weibo Corporation 
CTRE,CareTrust REIT Inc.
EARS,Auris Medical Holding AG
EFOI,Energy Focus Inc.
EPRS,EPIRUS Biopharmaceuticals Inc.
FSNN,Fusion Telecommunications Inter
FWP,Forward Pharma A/S
MMAC,MMA Capital Management LLC
MTLS,Materialise NV
PRTO,Proteon Therapeutics Inc.
RCPI,Rock Creek Pharmaceuticals Inc
RESN,Resonant Inc.
TGEN,Tecogen Inc.
ALDX,Aldeyra Therapeutics Inc.
ADMA,ADMA Biologics Inc
ABAC,Aoxin Tianli Group Inc.
AAVL,Avalanche Biotechnologies Inc.
RAVE,RAVE Restaurant Group Inc.
TCON,TRACON Pharmaceuticals Inc.
XHR,Xenia Hotels & Resorts Inc. Co
RPD,Rapid7  Inc.
GNRT,Gener8 Maritime Inc.
CRBP,Corbus Pharmaceuticals Holdings  Inc.
CHMA,Chiasma  Inc.
BLD,TopBuild Corp.
ACRS,Aclaris Therapeutics  Inc.
ESNC,EnSync  Inc.
PMTS,CPI Card Group  Inc.
