AAME,Atlantic American Corporation 
ACAT,Arctic Cat Inc. 
AER,Aercap Holdings N.V. Ordinary S 
ARL,American Realty Investors Inc. 
ASUR,Asure Software Inc 
BASI,Bioanalytical Systems Inc. 
BDMS,Birner Dental Management Servic 
BIOC,BioClinica Inc 
BITA,Bitauto Holdings Limited Americ 
BLIN,Bridgeline Digital Inc. 
BXC,Bluelinx Holdings Inc. Common S 
CAAS,China Automotive Systems Inc. 
CFBK,Central Federal Corporation 
CGA,China Green Agriculture Inc. C 
CLSN,Celsion Corporation 
COSI,Cosi Inc. 
CPHC,Canterbury Park Holding Corpora 
CREG,China Recycling Energy Corporat 
CTRP,Ctrip.com International Ltd. 
CYD,China Yuchai International Limi 
DAR,Darling International Inc. Comm 
DDS,Dillard's Inc. Common 
DLA,Delta Apparel Inc. Common Stoc 
DYSL,Dynasil Corporation of America 
EGT,Entertaining Gaming Asia Incorp 
EQS,Equus Total Return Inc. Common 
FORD,Forward Industries Inc. 
GBR,New Concept Energy Inc Common  
GPIC,Gaming Partners International C 
GROW,U.S. Global Investors Inc. 
INTX,Intersections Inc. 
ISNS,Image Sensing Systems Inc. 
JWN,Nordstrom Inc. Common 
KSS,Kohl's Corporation Common 
LGL,LGL Group Inc. (The) Common St 
LIVE,LiveDeal Inc. 
LTRE,Learning Tree International In 
MBLX,Metabolix Inc. 
NMM,Navios Maritime Partners LP Com 
NSPH,Nanosphere Inc. 
NVDA,NVIDIA Corporation 
OGXI,OncoGenex Pharmaceuticals Inc. 
OPXA,Opexa Therapeutics Inc. 
PBH,Prestige Brand Holdings Inc. C 
PDEX,Pro-Dex Inc. 
PERY,Perry Ellis International Inc. 
PFIN,P & F Industries Inc. 
PRGO,Perrigo Company 
PRKR,ParkerVision Inc. 
PTSX,Point.360 
RL,Ralph Lauren Corporation Common 
SANW,S&W Seed Company 
SOFO,Sonic Foundry Inc. 
SYMC,Symantec Corporation 
SYMX,Synthesis Energy Systems Inc. 
TCCO,Technical Communications Corpor 
TCI,Transcontinental Realty Investo 
ULTR,Ultrapetrol (Bahamas) Limited 
UNAM,Unico American Corporation 
UNIS,Unilife Corporation 
USAT,USA Technologies Inc. 
VIP,VimpelCom Ltd 
XUE,Xueda Education Group American  
AGRO, Adecoagro S.A. Common Shares 
BGMD, BG Medicine  Inc. 
CEMI, Chembio Diagnostics  Inc. 
CLIR, ClearSign Combustion Corporatio 
DATE, Jiayuan.com International Ltd. 
