ADAT,Authentidate Holding Corp. 
ANCX,Access National Corporation 
ASA,ASA  Gold and Precious Metals L 
ASRV,AmeriServ Financial Inc. 
ATLO,Ames National Corporation 
BANF,BancFirst Corporation 
BKMU,Bank Mutual Corporation 
BKOR,Oak Ridge Financial Services I 
C,Citigroup Inc. Common 
CAW,CCA Industries Inc. Common Sto 
CFNL,Cardinal Financial Corporation 
CPSS,Consumer Portfolio Services In 
CTBI,Community Trust Bancorp Inc. 
CZNC,Citizens & Northern Corp 
DIT,AMCON Distributing Company Comm 
FBMS,The First Bancshares Inc. 
FCFS,First Cash Financial Services  
FFIN,First Financial Bankshares Inc 
FHN,First Horizon National Corporat 
FIZZ,National Beverage Corp. 
GBNK,Guaranty Bancorp 
GFED,Guaranty Federal Bancshares In 
KNL,Knoll Inc. Common 
LION,Fidelity Southern Corporation 
MRTN,Marten Transport Ltd. 
MSN,Emerson Radio Corporation Commo 
NWBI,Northwest Bancshares Inc. 
OLBK,Old Line Bancshares Inc. 
PACW,PacWest Bancorp 
PNC,PNC Financial Services Group I 
SGB,Southwest Georgia Financial Cor 
TZOO,Travelzoo Inc. 
USB,U.S. Bancorp Common 
WFC,Wells Fargo & Company Common St 
CERE, Ceres  Inc. 
CVCY, Central Valley Community Bancor 
EMCF, Emclaire Financial Corp 
FBRC, FBR & Co 
HBMD, Howard Bancorp  Inc. 
KMI, Kinder Morgan  Inc. Common Stoc 
AMLP,ALPS Alerian MLP ETF
CZFC,Citizens First Corporation 
