BBSI,Barrett Business Services Inc. 
REXX, Rex Energy Corporation 
SSW,Seaspan Corporation Seaspan Cor 
LINE,Linn Energy LLC 
HBIO, Harvard Bioscience  Inc. 
CTCM,CTC Media Inc. 
KODK,Eastman Kodak Co. 
TEDU,Tarena International Inc. 
GEF,Greif Inc. Class A Common 
REN,Resolute Energy Corporation Com 
THO,Thor Industries Inc. Common St 
AVEO,AVEO Pharmaceuticals Inc. 
CVGW,Calavo Growers Inc. 
JVA,Coffee Holding Co. Inc. 
FUNC,First United Corporation 
HNRG, Hallador Energy Company 
PNY,Piedmont Natural Gas Company I 
SXE,Southcross Energy Partners L.P. 
ACRX, AcelRx Pharmaceuticals  Inc. 
ADMA,ADMA Biologics Inc
AMCN,AirMedia Group Inc 
ALXA,Alexza Pharmaceuticals Inc. 
AFCO,American Farmland Company
AMID, American Midstream Partners  LP 
AQMS,Aqua Metals  Inc.
AFH,Atlas Financial Holdings Inc. 
BTN,Ballantyne Strong Inc. Common  
BSM,Black Stone Minerals  L.P.
CASY,Caseys General Stores Inc. 
CTT,CatchMark Timber Trust Inc. 
TACO,Del Taco Restaurants  Inc.
PLOW,Douglas Dynamics Inc. Common S 
WATT,Energous Corporation 
FNHC, Federated National Holding Comp 
HCCI, Heritage-Crystal Clean  Inc. 
HIL, Hill International  Inc. Common 
ICFI, ICF International  Inc. 
JCAP,Jernigan Capital  Inc.
JONE,Jones Energy Inc. 
LMOS, Lumos Networks Corp. 
MUX, McEwen Mining Inc. Common 
MR,Mindray Medical International L 
MRTX,Mirati Therapeutics Inc. 
NEFF,Neff Corporation Common
OCIP,OCI Partners LP 
OMED,OncoMed Pharmaceuticals Inc. 
OTEL,Otelco Inc. 
PCTI,PC-Tel Inc. 
NX,Quanex Building Products Corpor 
SHAK,Shake Shack Inc. Class A Commo
SZYM, Solazyme  Inc. 
SUP,Superior Industries Internation 
UNFI,United Natural Foods Inc. 
URBN,Urban Outfitters Inc. 
XNCR,Xencor Inc. 
MNKD,MannKind Corporation 
NEWT,Newtek Business Services Inc. 
NRP,Natural Resources Partners LP 
TGTX,TG Therapeutics Inc. 
