CTCM,CTC Media Inc. 
CTAS,Cintas Corporation 
XONE,The ExOne Company 
ROSG, Rosetta Genomics Ltd. 
BOSC,B.O.S. Better Online Solutions 
CCL,Carnival Corporation Common Sto 
JRJC,China Finance Online Co. Limite 
CREG,China Recycling Energy Corporat 
ESSX,Essex Rental Corporation 
LUB,Luby's Inc. Common 
UG,United-Guardian Inc. 
APOL,Apollo Group Inc. 
CLRB,Cellectar Biosciences Inc.
FIVE, Five Below  Inc. 
GIII,G-III Apparel Group LTD. 
HQY,HealthEquity Inc.
INVE,Identive Group Inc. 
IDN, Intellicheck Mobilisa  Inc. Com 
NKE,Nike Inc. Common 
NRE,Northstar Realty Europe Corp.
RHT,Red Hat Inc. Common 
SCS,Steelcase Inc. Common 
WOR,Worthington Industries Inc. Co 
AIR,AAR Corp. Common 
LUNA,Luna Innovations Incorporated 
KKD,Krispy Kreme Doughnuts Inc. Co 
