ABCB,Ameris Bancorp 
ACY,AeroCentury Corp. Common 
AFOP,Alliance Fiber Optic Products  
AN,AutoNation Inc. Common 
AWRE,Aware Inc. 
CAT,Caterpillar Inc. Common 
CFNB,California First National Banco 
CHCO,City Holding Company 
CKH,SEACOR Holdings Inc. Common Sto 
CNIT,China Information Technology I 
CTCM,CTC Media Inc. 
CVTI,Covenant Transportation Group  
CWBC,Community West Bancshares 
CZWI,Citizens Community Bancorp Inc 
EVBS,Eastern Virginia Bankshares In 
FFNW,First Financial Northwest Inc. 
FNB,F.N.B. Corporation Common 
GE,General Electric Company Common 
GNTX,Gentex Corporation 
IPG,Interpublic Group of Companies 
JMP,JMP Group Inc Common 
KMB,Kimberly-Clark Corporation Comm 
LBAI,Lakeland Bancorp Inc. 
LYB,LyondellBasell Industries NV Or 
MCBC,Macatawa Bank Corporation 
MCD,McDonald's Corporation Common S 
MGYR,Magyar Bancorp Inc. 
MLI,Mueller Industries Inc. Common 
MTSN,Mattson Technology Inc. 
NFBK,Northfield Bancorp Inc. 
NKSH,National Bankshares Inc. 
NWFL,Norwood Financial Corp. 
OFG,Oriental Financial Group Inc.  
OPOF,Old Point Financial Corporation 
ORRF,Orrstown Financial Services Inc 
PFBX,Peoples Financial Corporation 
PJC,Piper Jaffray Companies Common  
PMBC,Pacific Mercantile Bancorp 
PNK,Pinnacle Entertainment Inc. Co 
PRGN,Paragon Shipping Inc. Class A C 
PRK,Park National Corporation Commo 
PTSI,P.A.M. Transportation Services 
SAL,Salisbury Bancorp Inc. Common  
SGB,Southwest Georgia Financial Cor 
SGMO,Sangamo BioSciences Inc. 
SHOO,Steven Madden Ltd. 
SIFI,SI Financial Group Inc. 
SONA,Southern National Bancorp of Vi 
STI,SunTrust Banks Inc. Common Sto 
STND,Standard Financial Corp. 
SVBI,Severn Bancorp Inc 
TMP,Tompkins Financial Corporation  
UBCP,United Bancorp Inc. 
UBOH,United Bancshares Inc. 
UTMD,Utah Medical Products Inc. 
VISN,VisionChina Media Inc. 
WBC,Wabco Holdings Inc. Common Stoc 
WLB,Westmoreland Coal Company 
WSBF,Waterstone Financial Inc. 
BGMD, BG Medicine  Inc. 
CBF, Capital Bank Financial Corp. 
EMCF, Emclaire Financial Corp 
FBIZ, First Business Financial Servic 
HBMD, Howard Bancorp  Inc. 
HBNC, Horizon Bancorp (IN) 
HON, Honeywell International Inc. Co 
HTBK, Heritage Commerce Corp 
HTLD, Heartland Express  Inc. 
HTS, Hatteras Financial Corp Hattera 
IMH, Impac Mortgage Holdings  Inc. C 
SIFY, Sify Technologies Limited 
UNTY, Unity Bancorp  Inc. 
TCFC,The Community Financial Corp. 
CNOB,ConnectOne Bancorp Inc. 
AAL,American Airlines Group Inc. 
HFBL,Home Federal Bancorp Inc. of Louisiana 
IMS,IMS Health Holdings Inc. 
TRCB,Two River Bancorp 
PARN,Parnell Pharmaceuticals Holding
SBCP,Sunshine Bancorp Inc.
SSB,South State Corporation
SYF,Synchrony Financial Common Stoc
TCPI,TCP International Holdings Ltd.
WMLP,Westmoreland Resource Partners
CIVB,Civista Bancshares  Inc.
