ACFC,Atlantic Coast Federal Corporat 
ISTR,Investar Holding Corporation
NAP,Navios Maritime Midstream Partn
NEFF,Neff Corporation Common
PRAH,PRA Health Sciences Inc.
SPOK,Spok Holdings Inc.
TBK,Triumph Bancorp Inc.
TCPI,TCP International Holdings Ltd.
TREC,Trecora Resources Common
VBTX,Veritex Holdings Inc.
ANTM,Anthem Inc. Common
PATI,Patriot Transportation Holding Inc
NHTC,NATURAL HEALTH TREND
PYPL,PayPal Holdings  Inc.
PUB,Peoples Utah Bancorp
BKFS,Black Knight Financial Services  Inc.
TGNA,TEGNA Inc.
LOB,Live Oak Bancshares  Inc.
NBRV,Nabriva Therapeutics AG
TLGT,Teligent  Inc.
