AAN,Aaron's Inc. Common 
ACPW,Active Power Inc. 
AHGP,Alliance Holdings GP L.P. 
AN,AutoNation Inc. Common 
ANAT,American National Insurance Com 
AON,Aon plc Class A Ordinary Shares 
ARLP,Alliance Resource Partners L.P 
AXL,American Axle & Manufacturing H 
B,Barnes Group Inc. Common 
BFIN,BankFinancial Corporation 
BFS,Saul Centers Inc. Common 
BWEN,Broadwind Energy Inc. 
BYFC,Broadway Financial Corporation 
CASH,Meta Financial Group Inc. 
CBOE,CBOE Holdings Inc. 
CFNB,California First National Banco 
CIR,CIRCOR International Inc. Comm 
CMCO,Columbus McKinnon Corporation 
COG,Cabot Oil & Gas Corporation Com 
CPN,Calpine Corporation Common Stoc 
CSBK,Clifton Savings Bancorp Inc. 
CTS,CTS Corporation Common 
CVCO,Cavco Industries Inc. 
CVX,Chevron Corporation Common Stoc 
DGICA,Donegal Group Inc. 
DRAD,Digirad Corporation 
EEI,Ecology and Environment Inc. 
EML,Eastern Company (The) 
EXC,Exelon Corporation Common 
FLIC,The First of Long Island Corpor 
GT,Goodyear Tire & Rubber Company  
KERX,Keryx Biopharmaceuticals Inc. 
KRNY,Kearny Financial 
LM,Legg Mason Inc. Common 
LPNT,LifePoint Hospitals Inc. 
LXK,Lexmark International Inc. Com 
MA,Mastercard Incorporated Common  
MBRG,Middleburg Financial Corporatio 
MFNC,Mackinac Financial Corporation 
MGI,Moneygram International Inc. N 
MNDO,MIND C.T.I. Ltd. 
MYL,Mylan Inc. 
NEM,Newmont Mining Corporation (Hol 
NICK,Nicholas Financial Inc. 
NPK,National Presto Industries Inc 
NRIM,Northrim BanCorp Inc 
NWFL,Norwood Financial Corp. 
NWL,Newell Rubbermaid Inc. Common S 
OPY,Oppenheimer Holdings Inc. Clas 
PFS,Provident Financial Services I 
PNM,PNM Resources Inc. (Holding Co 
POR,Portland General Electric Co Co 
PRK,Park National Corporation Commo 
RCL,Royal Caribbean Cruises Ltd. Co 
REIS,Reis Inc 
ROYL,Royale Energy Inc. 
RUTH,Ruth's Hospitality Group Inc. 
SAAS,inContact Inc. 
SBSI,Southside Bancshares Inc. 
SCCO,Southern Copper Corporation Com 
SGI,Silicon Graphics International  
SHEN,Shenandoah Telecommunications C 
SMTX,SMTC Corporation 
SPRT,support.com Inc. 
SWC,Stillwater Mining Company Commo 
SXI,Standex International Corporati 
TDS,Telephone and Data Systems Inc 
TEN,Tenneco Inc. Common 
TMP,Tompkins Financial Corporation  
TR,Tootsie Roll Industries Inc. C 
TYPE,Monotype Imaging Holdings Inc. 
USM,United States Cellular Corporat 
UVSP,Univest Corporation of Pennsylv 
VRTS,Virtus Investment Partners Inc 
VTR,Ventas Inc. Common 
WY,Weyerhaeuser Company Common Sto 
XOM,Exxon Mobil Corporation Common  
XRX,Xerox Corporation Common 
APO, Apollo Global Management  LLC C 
BLMN, Bloomin' Brands  Inc. 
EVER, EverBank Financial Corp. Common 
GTXI, GTx  Inc. 
GVA, Granite Construction Incorporat 
HFBC, HopFed Bancorp  Inc. 
HNH, Handy & Harman Ltd. 
HSY, The Hershey Company Common Stoc 
HUN, Huntsman Corporation Common Sto 
HWKN, Hawkins  Inc. 
IMGN, ImmunoGen  Inc. 
OAK, Oaktree Capital Group  LLC Clas 
PBIB, Porter Bancorp  Inc. 
PNBK, Patriot National Bancorp Inc. 
PSX, Phillips 66 Common 
RFP, Resolute Forest Products Inc. C 
WETF, WisdomTree Investments  Inc. 
SCTY,SolarCity Corporation 
PSXP,Phillips 66 Partners LP 
PBF,PBF Energy Inc. 
KODK,Eastman Kodak Co. 
HTBX,Heat Biologics Inc. 
FCAP,First Capital Inc. 
CQH,Cheniere Energy Partners LP Holdings LLC 
COB,CommunityOne Bancorp 
BYBK,Bay Bancorp Inc. 
GHC,Graham Holdings 
MDWD,MediWound Ltd. 
PBHC,Pathfinder Bancorp Inc. 
SMLR,Semler Scientific Inc 
FMBH,First Mid-Illinois Bancshares
GNBC,Green Bancorp Inc.
IRMD,iRadimed Corporation
LPG,Dorian LPG Ltd. Common
MRNS,Marinus Pharmaceuticals Inc.
PBFX,PBF Logistics LP Common Units r
VA,Virgin America Inc.
PTXP,PennTex Midstream Partners  LP
CUBN,Commerce Union Bancshares  Inc.
ACBI,Atlantic Capital Bancshares  Inc.
CFCB,Centrue Financial Corporation
